order_id,customer_age,membership,channel,price,quantity,amount,region_경기,region_대구,region_부산,region_서울,region_인천,category_가전,category_도서,category_뷰티,category_식품,category_패션,customer_age_scaled,price_scaled,quantity_scaled,amount_scaled
O00001,30,1,0,19900.0,1,,0,0,0,1,0,0,0,0,0,1,-0.4166666666666667,-0.3333333333333333,0.0,
O00002,24,0,0,249900.0,3,749700.0,0,1,0,0,0,1,0,0,0,0,-0.9166666666666666,7.333333333333333,2.0,10.141428571428571
O00003,45,0,1,19900.0,1,19900.0,0,0,1,0,0,0,0,0,0,1,0.8333333333333334,-0.3333333333333333,0.0,-0.2842857142857143
O00004,24,0,0,19900.0,1,,1,0,0,0,0,0,0,1,0,0,-0.9166666666666666,-0.3333333333333333,0.0,
O00005,41,0,0,19900.0,1,19900.0,0,0,0,1,0,0,0,0,0,1,0.5,-0.3333333333333333,0.0,-0.2842857142857143
O00006,,0,0,29900.0,1,29900.0,0,0,0,1,0,0,0,1,0,0,,0.0,0.0,-0.14142857142857143
O00007,41,1,0,19900.0,3,59700.0,0,0,0,1,0,0,0,1,0,0,0.5,-0.3333333333333333,2.0,0.2842857142857143
O00008,34,1,1,129900.0,3,389700.0,0,0,0,0,1,0,0,0,0,1,-0.08333333333333333,3.3333333333333335,2.0,4.998571428571428
O00009,,1,0,19900.0,1,19900.0,1,0,0,0,0,0,0,0,1,0,,-0.3333333333333333,0.0,-0.2842857142857143
O00010,25,2,1,89900.0,1,89900.0,0,0,1,0,0,0,0,0,0,1,-0.8333333333333334,2.0,0.0,0.7157142857142857
O00011,30,2,0,9900.0,1,9900.0,0,0,0,1,0,0,1,0,0,0,-0.4166666666666667,-0.6666666666666666,0.0,-0.42714285714285716
O00012,32,1,1,49900.0,3,149700.0,0,1,0,0,0,0,1,0,0,0,-0.25,0.6666666666666666,2.0,1.57
O00013,34,3,1,129900.0,80,259800.0,0,0,0,0,1,0,0,0,1,0,-0.08333333333333333,3.3333333333333335,79.0,3.142857142857143
O00014,32,0,1,9900.0,1,9900.0,0,0,0,1,0,0,0,1,0,0,-0.25,-0.6666666666666666,0.0,-0.42714285714285716
O00015,32,0,0,249900.0,2,499800.0,0,0,0,1,0,0,0,0,1,0,-0.25,7.333333333333333,1.0,6.571428571428571
O00016,32,0,1,29900.0,1,29900.0,0,0,0,1,0,0,1,0,0,0,-0.25,0.0,0.0,-0.14142857142857143
O00017,16,1,0,129900.0,1,129900.0,0,0,0,1,0,0,0,0,1,0,-1.5833333333333333,3.3333333333333335,0.0,1.2871428571428571
O00018,44,2,1,49900.0,1,49900.0,1,0,0,0,0,0,0,0,0,1,0.75,0.6666666666666666,0.0,0.1442857142857143
O00019,61,0,1,19900.0,2,39800.0,1,0,0,0,0,0,0,0,1,0,2.1666666666666665,-0.3333333333333333,1.0,0.0
O00020,,3,0,9900.0,3,29700.0,0,0,0,1,0,0,0,1,0,0,,-0.6666666666666666,2.0,-0.1442857142857143
O00021,25,0,1,19900.0,3,59700.0,0,0,0,1,0,0,0,0,0,1,-0.8333333333333334,-0.3333333333333333,2.0,0.2842857142857143
O00022,26,3,1,9900.0,1,9900.0,0,0,0,1,0,1,0,0,0,0,-0.75,-0.6666666666666666,0.0,-0.42714285714285716
O00023,41,0,0,9900.0,2,19800.0,0,0,0,1,0,0,1,0,0,0,0.5,-0.6666666666666666,1.0,-0.2857142857142857
O00024,38,0,1,9900.0,1,9900.0,0,0,0,1,0,0,1,0,0,0,0.25,-0.6666666666666666,0.0,-0.42714285714285716
O00025,32,0,1,19900.0,1,19900.0,1,0,0,0,0,0,0,0,1,0,-0.25,-0.3333333333333333,0.0,-0.2842857142857143
O00026,42,0,1,49900.0,2,99800.0,0,0,1,0,0,0,0,0,0,1,0.5833333333333334,0.6666666666666666,1.0,0.8571428571428571
O00027,16,0,0,9900.0,1,9900.0,0,0,0,1,0,1,0,0,0,0,-1.5833333333333333,-0.6666666666666666,0.0,-0.42714285714285716
O00028,42,0,0,9900.0,1,9900.0,1,0,0,0,0,0,0,0,0,1,0.5833333333333334,-0.6666666666666666,0.0,-0.42714285714285716
O00029,37,2,0,29900.0,2,59800.0,1,0,0,0,0,0,1,0,0,0,0.16666666666666666,0.0,1.0,0.2857142857142857
O00030,26,1,0,9900.0,1,9900.0,0,0,0,1,0,0,0,0,0,1,-0.75,-0.6666666666666666,0.0,-0.42714285714285716
O00031,22,0,1,9900.0,1,9900.0,1,0,0,0,0,1,0,0,0,0,-1.0833333333333333,-0.6666666666666666,0.0,-0.42714285714285716
O00032,36,1,1,9900.0,3,29700.0,0,0,0,1,0,0,0,0,1,0,0.08333333333333333,-0.6666666666666666,2.0,-0.1442857142857143
O00033,48,1,0,129900.0,2,259800.0,0,0,0,1,0,0,0,1,0,0,1.0833333333333333,3.3333333333333335,1.0,3.142857142857143
O00034,,0,1,89900.0,1,89900.0,0,1,0,0,0,0,0,0,0,1,,2.0,0.0,0.7157142857142857
O00035,27,0,1,19900.0,2,39800.0,0,1,0,0,0,0,0,1,0,0,-0.6666666666666666,-0.3333333333333333,1.0,0.0
O00036,37,0,1,49900.0,2,99800.0,0,0,0,0,1,0,1,0,0,0,0.16666666666666666,0.6666666666666666,1.0,0.8571428571428571
O00037,51,0,1,29900.0,1,29900.0,0,0,0,1,0,0,0,0,1,0,1.3333333333333333,0.0,0.0,-0.14142857142857143
O00038,39,1,0,49900.0,3,149700.0,0,0,0,1,0,0,0,0,1,0,0.3333333333333333,0.6666666666666666,2.0,1.57
O00039,40,0,1,49900.0,2,99800.0,0,0,1,0,0,0,0,0,0,1,0.4166666666666667,0.6666666666666666,1.0,0.8571428571428571
O00040,46,1,0,29900.0,2,59800.0,1,0,0,0,0,0,0,0,1,0,0.9166666666666666,0.0,1.0,0.2857142857142857
O00041,39,3,1,19900.0,1,19900.0,0,0,0,1,0,0,0,0,0,1,0.3333333333333333,-0.3333333333333333,0.0,-0.2842857142857143
O00042,28,0,0,9900.0,1,9900.0,1,0,0,0,0,0,0,0,0,1,-0.5833333333333334,-0.6666666666666666,0.0,-0.42714285714285716
