구별,동별,1인세대수_계,1인세대수_남,1인세대수_여,0세-4세(계),0세-4세(남),0세-4세(여),5세-9세(계),5세-9세(남),5세-9세(여),10세-14세(계),10세-14세(남),10세-14세(여),15세-19세(계),15세-19세(남),15세-19세(여),20세-24세(계),20세-24세(남),20세-24세(여),25세-29세(계),25세-29세(남),25세-29세(여),30세-34세(계),30세-34세(남),30세-34세(여),35세-39세(계),35세-39세(남),35세-39세(여),40세-44세(계),40세-44세(남),40세-44세(여),45세-49세(계),45세-49세(남),45세-49세(여),50세-54세(계),50세-54세(남),50세-54세(여),55세-59세(계),55세-59세(남),55세-59세(여),60세-64세(계),60세-64세(남),60세-64세(여),65세 이상(계),65세 이상(남),65세 이상(여),데이터기준일자
수정구,신흥1동,4638,2702,1936,0,0,0,1,0,1,0,0,0,11,2,9,117,49,68,383,225,158,405,272,133,276,174,102,267,182,85,300,224,76,425,298,127,504,356,148,492,295,197,1457,625,832,2026-04-30
수정구,신흥2동,2540,1102,1438,2,1,1,0,0,0,0,0,0,0,0,0,13,6,7,91,44,47,197,118,79,302,194,108,254,141,113,226,108,118,189,103,86,211,86,125,232,77,155,823,224,599,2026-04-30
수정구,신흥3동,3986,2460,1526,0,0,0,0,0,0,0,0,0,14,3,11,114,54,60,348,212,136,363,237,126,248,185,63,252,179,73,303,199,104,354,264,90,419,288,131,462,308,154,1109,531,578,2026-04-30
수정구,태평1동,5091,2881,2210,0,0,0,0,0,0,1,0,1,68,37,31,497,263,234,647,399,248,479,308,171,285,192,93,287,189,98,282,192,90,349,248,101,403,267,136,408,244,164,1385,542,843,2026-04-30
수정구,태평2동,4025,2171,1854,0,0,0,0,0,0,1,0,1,8,4,4,157,88,69,407,235,172,432,295,137,265,178,87,205,128,77,219,143,76,312,201,111,367,222,145,418,235,183,1234,442,792,2026-04-30
수정구,태평3동,3285,1847,1438,0,0,0,0,0,0,3,1,2,10,5,5,100,61,39,271,173,98,258,167,91,169,113,56,166,108,58,215,138,77,261,164,97,354,231,123,378,232,146,1100,454,646,2026-04-30
수정구,태평4동,3212,1692,1520,0,0,0,2,1,1,3,1,2,7,1,6,113,48,65,322,168,154,377,258,119,217,142,75,175,106,69,157,99,58,240,154,86,276,170,106,282,163,119,1041,381,660,2026-04-30
수정구,수진1동,4152,2389,1763,1,0,1,1,0,1,1,0,1,4,3,1,43,27,16,272,162,110,277,202,75,242,159,83,207,155,52,238,158,80,339,223,116,451,309,142,536,339,197,1540,652,888,2026-04-30
수정구,수진2동,3704,1985,1719,0,0,0,0,0,0,2,1,1,15,7,8,115,46,69,402,222,180,360,232,128,214,153,61,206,133,73,213,136,77,245,157,88,326,200,126,373,203,170,1233,495,738,2026-04-30
수정구,단대동,2490,1189,1301,0,0,0,1,1,0,0,0,0,2,1,1,50,20,30,188,97,91,231,131,100,180,111,69,169,105,64,141,95,46,162,89,73,224,130,94,248,131,117,894,278,616,2026-04-30
수정구,산성동,868,452,416,0,0,0,0,0,0,0,0,0,1,0,1,18,7,11,66,44,22,84,53,31,44,33,11,56,43,13,56,37,19,60,43,17,79,50,29,76,36,40,328,106,222,2026-04-30
수정구,양지동,1837,906,931,0,0,0,1,1,0,1,1,0,22,5,17,133,51,82,123,60,63,126,84,42,84,58,26,89,56,33,103,62,41,116,71,45,166,106,60,193,105,88,680,246,434,2026-04-30
수정구,복정동,4726,3066,1660,1,1,0,0,0,0,0,0,0,153,73,80,858,492,366,709,459,250,545,398,147,397,296,101,383,278,105,370,250,120,369,270,99,297,217,80,212,138,74,432,194,238,2026-04-30
