구분,동,연령,남,여,데이터기준일자
수정구,신흥1동,65 - 69,198,263,2026-06-05
수정구,신흥1동,70 - 74,178,200,2026-06-05
수정구,신흥1동,75 - 79,80,163,2026-06-05
수정구,신흥1동,80 - 84,53,106,2026-06-05
수정구,신흥1동,85 - 89,12,76,2026-06-05
수정구,신흥1동,90 - 94,3,21,2026-06-05
수정구,신흥1동,95 - 99,1,3,2026-06-05
수정구,신흥2동,65 - 69,79,192,2026-06-05
수정구,신흥2동,70 - 74,64,167,2026-06-05
수정구,신흥2동,75 - 79,35,118,2026-06-05
수정구,신흥2동,80 - 84,27,73,2026-06-05
수정구,신흥2동,85 - 89,13,41,2026-06-05
수정구,신흥2동,90 - 94,5,5,2026-06-05
수정구,신흥2동,95 - 99,1,3,2026-06-05
수정구,신흥3동,65 - 69,251,184,2026-06-05
수정구,신흥3동,70 - 74,139,137,2026-06-05
수정구,신흥3동,75 - 79,76,107,2026-06-05
수정구,신흥3동,80 - 84,44,85,2026-06-05
수정구,신흥3동,85 - 89,16,47,2026-06-05
수정구,신흥3동,90 - 94,5,14,2026-06-05
수정구,신흥3동,95 - 99,0,4,2026-06-05
수정구,태평1동,65 - 69,240,217,2026-06-05
수정구,태평1동,70 - 74,142,184,2026-06-05
수정구,태평1동,75 - 79,86,173,2026-06-05
수정구,태평1동,80 - 84,39,136,2026-06-05
수정구,태평1동,85 - 89,25,94,2026-06-05
수정구,태평1동,90 - 94,8,32,2026-06-05
수정구,태평1동,95 - 99,2,7,2026-06-05
수정구,태평2동,65 - 69,194,198,2026-06-05
수정구,태평2동,70 - 74,115,184,2026-06-05
수정구,태평2동,75 - 79,68,135,2026-06-05
수정구,태평2동,80 - 84,36,140,2026-06-05
수정구,태평2동,85 - 89,18,81,2026-06-05
수정구,태평2동,90 - 94,10,47,2026-06-05
수정구,태평2동,95 - 99,1,7,2026-06-05
수정구,태평3동,65 - 69,219,191,2026-06-05
수정구,태평3동,70 - 74,128,141,2026-06-05
