구별,동,인구수_계,인구수_남,인구수_여,19세 이상_계,19세 이상_남,19세 이상_여,65세 이상_계,65세 이상_남자,65세 이상_여자,세대수,재외국민,데이터기준일자
수정구,신흥1동         ,11914,6370,5544,11216,6008,5208,3212,1413,1799,7395,19,2026-06-30
수정구,신흥2동         ,31566,15329,16237,26647,12809,13838,5467,2509,2958,12329,48,2026-06-30
수정구,신흥3동         ,10616,5711,4905,9958,5383,4575,2682,1271,1411,6456,10,2026-06-30
수정구,태평1동         ,13475,7031,6444,12765,6683,6082,3695,1623,2072,8273,22,2026-06-30
수정구,태평2동         ,13560,6856,6704,12552,6356,6196,3465,1492,1973,7551,16,2026-06-30
수정구,태평3동         ,11457,5884,5573,10579,5450,5129,3128,1405,1723,6280,15,2026-06-30
수정구,태평4동         ,10767,5541,5226,9845,5049,4796,2701,1197,1504,5913,17,2026-06-30
수정구,수진1동         ,10605,5656,4949,10057,5373,4684,3239,1458,1781,6644,13,2026-06-30
수정구,수진2동         ,14273,7211,7062,13196,6652,6544,4123,1873,2250,7520,33,2026-06-30
수정구,단대동          ,14090,6891,7199,12558,6081,6477,3415,1473,1942,6514,27,2026-06-30
수정구,산성동          ,4367,2185,2182,3940,1950,1990,1155,489,666,2104,20,2026-06-30
수정구,양지동          ,8866,4333,4533,8077,3931,4146,2270,987,1283,4275,10,2026-06-30
수정구,복정동          ,13753,7525,6228,12020,6644,5376,1552,728,824,7973,17,2026-06-30
수정구,위례동          ,45104,21775,23329,36570,17505,19065,7504,3455,4049,18691,120,2026-06-30
수정구,신촌동          ,4932,2597,2335,4021,2111,1910,654,306,348,2182,15,2026-06-30
수정구,고등동          ,11688,5730,5958,9917,4836,5081,1841,842,999,5276,36,2026-06-30
수정구,시흥동          ,3606,1915,1691,3351,1793,1558,762,371,391,2179,25,2026-06-30
중원구,성남동          ,31834,16597,15237,29525,15430,14095,7390,3397,3993,18485,50,2026-06-30
중원구,중앙동          ,16519,8417,8102,14208,7221,6987,3345,1539,1806,7521,15,2026-06-30
중원구,금광1동         ,19629,9631,9998,16360,7994,8366,3052,1386,1666,8255,17,2026-06-30
중원구,금광2동         ,22801,11240,11561,20663,10162,10501,5414,2417,2997,11623,36,2026-06-30
중원구,은행1동         ,9296,4578,4718,8329,4074,4255,2009,875,1134,4434,10,2026-06-30
중원구,은행2동         ,18717,9194,9523,17293,8471,8822,5037,2158,2879,9834,45,2026-06-30
중원구,상대원1동       ,22297,11575,10722,20165,10487,9678,5532,2497,3035,11548,21,2026-06-30
중원구,상대원2동       ,2875,1475,1400,2613,1330,1283,765,372,393,1507,8,2026-06-30
중원구,상대원3동       ,11041,5818,5223,10206,5395,4811,3097,1486,1611,6342,14,2026-06-30
중원구,하대원동        ,19480,9744,9736,17274,8622,8652,4606,2173,2433,8388,33,2026-06-30
중원구,도촌동          ,25575,12346,13229,21526,10215,11311,4902,2159,2743,10826,58,2026-06-30
분당구,분당동          ,24368,11926,12442,20586,9980,10606,4519,2073,2446,10080,87,2026-06-30
분당구,수내1동         ,17897,8542,9355,14777,6925,7852,2616,1072,1544,7928,120,2026-06-30
분당구,수내2동         ,10261,5028,5233,7567,3673,3894,1270,579,691,3189,45,2026-06-30
분당구,수내3동         ,13204,6532,6672,10444,5169,5275,1629,742,887,5158,33,2026-06-30
분당구,정자동          ,13707,6955,6752,11795,5991,5804,2432,1146,1286,6262,56,2026-06-30
분당구,정자1동         ,30320,14318,16002,25590,11987,13603,4459,2058,2401,14093,266,2026-06-30
분당구,정자2동         ,12624,6015,6609,11078,5203,5875,2654,1042,1612,6466,66,2026-06-30
분당구,정자3동         ,16508,7960,8548,13716,6574,7142,2620,1132,1488,6658,77,2026-06-30
분당구,서현1동         ,30508,14793,15715,25312,12153,13159,4629,2128,2501,12692,172,2026-06-30
분당구,서현2동         ,17161,8433,8728,14356,6966,7390,2911,1358,1553,6540,64,2026-06-30
분당구,이매1동         ,24471,11948,12523,20197,9723,10474,4089,1878,2211,9018,94,2026-06-30
분당구,이매2동         ,12782,6244,6538,10467,5051,5416,2476,1205,1271,4359,50,2026-06-30
분당구,야탑1동         ,16499,8128,8371,14501,7107,7394,3556,1643,1913,7589,60,2026-06-30
분당구,야탑2동         ,15494,7350,8144,13067,6143,6924,3644,1658,1986,5999,82,2026-06-30
분당구,야탑3동         ,26567,13057,13510,23471,11478,11993,5662,2481,3181,12741,58,2026-06-30
분당구,금곡동,26646,12560,14086,23257,10798,12459,5901,2554,3347,11959,162,2026-06-30
분당구,구미동,27830,13113,14717,24443,11416,13027,6290,2765,3525,12659,157,2026-06-30
분당구,구미1동,16069,7753,8316,13887,6630,7257,2930,1334,1596,6924,76,2026-06-30
분당구,판교동          ,26293,12925,13368,20286,9814,10472,3163,1533,1630,8993,107,2026-06-30
분당구,삼평동          ,23486,11366,12120,19058,9121,9937,3322,1508,1814,9107,62,2026-06-30
분당구,백현동          ,26145,12457,13688,21899,10251,11648,4307,1921,2386,10547,107,2026-06-30
분당구,운중동          ,38801,18868,19933,30773,14793,15980,4784,2279,2505,14119,173,2026-06-30
