rank,store_name,stat,star,info
1,야키니쿠 사카바 니쿠마루 하루요시점,"덴진미나미역 240m / 야키니쿠, 내장구이, 이자카야",3.38,카드 가능 / 금연 / Wi-Fi있음
2,니쿠토 사케 쥬우베에,"덴진미나미역 208m / 이자카야, 야키니쿠, 우설",3.09,카드 가능 / 금연
3,모츠나베 이치후지 텐진니시도오리점,"덴진역 356m / 내장전골, 냄비요리, 쇠고기 요리",3.57,카드 가능 / 금연 / 어린이 동반 가능
4,하카타 모츠나베 이치타카 하카타혼텐,"하카타역 340m / 내장전골, 이자카야, 내장구이",3.38,카드 가능 / 금연 / 어린이 동반 가능
5,하카타 모츠나베 이치타카 하카타 에키마에도오리점,"구시다 신사 앞역 19m / 내장전골, 이자카야",3.36,카드 가능 / 금연 / 어린이 동반 가능
6,사이린,"하카타역 559m / 야키니쿠, 내장구이, 한식",3.51,다국어 메뉴판 제공 / 카드 가능 / 분리 흡연 구역 / Wi-Fi있음 / 어린이 동반 가능
7,니쿠노 야마쇼우,"니시테츠후쿠오카역 498m / 야키니쿠, 내장구이, 이자카야",3.44,카드 가능 / 금연 / 어린이 동반 가능 / 어린이 메뉴 있음
8,야키니쿠 아카탄,"덴진미나미역 87m / 야키니쿠, 이자카야, 쇠고기 요리",3.39,카드 가능 / 금연
9,야키니쿠 테츠야,"아카사카역 551m / 야키니쿠, 내장구이, 한식",3.58,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
10,하카타 모츠나베 토쿠나가야 소혼텐,"기온역 284m / 내장전골, 닭날개, 향토 요리",3.73,카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / Wi-Fi있음 / 어린이 동반 가능
11,스시(초밥) 하카타 Hana,"하카타역 203m / 이자카야, 스시(초밥), 해물",3.39,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능 / 디지털 메뉴판 제공
12,마구로토 고한 쿠로다한 하카타점,"하카타역 283m / 이자카야, 해물, 덮밥",3.26,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
13,효고토리,"아카사카역 112m / 야키토리, 닭 요리, 이자카야",3.73,카드 가능 / 금연 / 어린이 동반 가능
14,탄카 키요카와혼텐,"와타나베도오리역 662m / 우설, 이자카야, 야키니쿠",3.70,카드 가능 / 금연 / 어린이 동반 가능
15,원카루비 PREMIUM 텐진,"니시테츠후쿠오카역 284m / 야키니쿠, 내장구이",3.05,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
16,스시 다몬,야쿠인오도리역 102m / 스시(초밥),3.87,카드 가능 / 금연
17,원카루비 PREMIUM 나카스,"나카스카와바타역 189m / 야키니쿠, 내장구이",3.05,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
18,와라야키 로바타 씨푸드,"하카타역 320m / 이자카야, 해물, 창작 요리",3.46,카드 가능 / 금연 / 어린이 동반 가능 / 채식주의자 메뉴 제공
19,쿄우후우모츠도코로 에치고야 하카타에키마에혼텐,"구시다 신사 앞역 546m / 내장전골, 이자카야, 일본 요리",3.54,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
20,스미야키 우나후지 후쿠오카 다이묘 벳테이,"아카사카역 395m / 장어, 일본 요리, 해물",3.13,카드 가능 / 금연 / 어린이 동반 가능
21,YAKINIKU 니쿠큐,"헤이와도오리역 260m / 야키니쿠, 한식, 이자카야",3.31,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
22,야키니쿠 이모토,"구시다 신사 앞역 478m / 야키니쿠, 내장구이, 냄비요리",3.10,카드 가능 / 금연 / 어린이 동반 가능
23,모츠나베 잇푸지 하카타점,"하카타역 401m / 내장전골, 쇠고기 요리, 내장구이",3.54,카드 가능 / 금연 / 어린이 동반 가능
24,사케토쿠시 옷토ット,"하카타역 631m / 이자카야, 꼬치구이",3.13,카드 가능 / 금연 / 어린이 동반 가능
25,하카타 스시 마츠모토,"덴진미나미역 348m / 스시(초밥), 해물, 일본 요리",3.50,카드 가능 / 금연
26,스시 스이교,"덴진미나미역 392m / 스시(초밥), 일본 요리, 해물",3.36,카드 가능 / 금연 / Wi-Fi있음
27,대슈우 내장구이 니쿠리키야 이마이즈미점,"니시테츠후쿠오카역 284m / 야키니쿠, 내장구이, 이자카야",3.30,카드 가능 / 흡연 가능 / Wi-Fi있음 / 채식주의자 메뉴 제공
28,타이겐 혼칸,"아카사카역 175m / 야키니쿠, 내장구이, 스키야키",3.67,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
29,마구로토 고항 쿠로다항,"니시테츠후쿠오카역 486m / 이자카야, 해물, 덮밥",3.30,카드 가능 / 금연
30,친푼칸푼 하나레 하카타점,"하카타역 422m / 야키토리, 이자카야",3.41,카드 가능 / 금연
31,쿠로이와케,"타카미야역 1153m / 야키니쿠, 내장구이",3.23,카드 가능 / 금연 / 어린이 동반 가능
32,야키니쿠 쵸우스케,야쿠인오도리역 42m / 야키니쿠,3.59,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
33,나마 내장구이 이타다키 우라텐진점,"덴진미나미역 155m / 야키니쿠, 내장구이, 이자카야",3.33,카드 가능 / 금연 / 어린이 동반 가능
34,이나바쵸 잇케이,"덴진역 175m / 이자카야, 내장전골, 향토 요리",3.35,카드 가능 / 금연 / 어린이 동반 가능
35,야키니쿠 이리와,"나카스카와바타역 396m / 야키니쿠, 육류 요리, 한식",3.10,카드 가능 / 분리 흡연 구역 / 어린이 동반 가능
