rank,store_name,stat,star,info
1,삿포로 징기스칸 시로쿠마 삿포로본점,"호스이스스키노역 162m / 징기스칸, 야키니쿠, 이자카야",3.68,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
2,스스키노 카니이치,"스스키노역 126m / 게, 해물",3.52,카드 가능 / 분리 흡연 구역 / 어린이 동반 가능
3,홋카도우산 히츠지 야사이 후쿠스케,히가시혼간지마에역 316m / 징기스칸,3.62,다국어 메뉴판 제공 / 카드 가능 / 분리 흡연 구역 / Wi-Fi있음 / 사진이 포함된 메뉴판 제공
4,SAPPORO NIKUAZABU,"니시 8초메역 203m / 야키니쿠, 내장구이, 이자카야",3.56,카드 가능 / 금연 / 어린이 동반 가능
5,징기스칸×앗케시카키  라무구치 카즈야,"호스이스스키노역 47m / 징기스칸, 이자카야, 굴",3.61,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 분리 흡연 구역 / Wi-Fi있음 / 어린이 동반 가능
6,삿포로 스시 긴자 니노마에,삿포로역 195m / 스시(초밥),3.58,카드 가능 / 금연
7,삿포로 스시 Sublime,"스스키노역 114m / 스시(초밥), 게",3.60,카드 가능 / 금연
8,케이토,바스센타마에역 246m / 야키토리,3.55,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
9,삿포로 스시시로,"다누키코지역 112m / 스시(초밥), 해물, 일본 요리",3.62,다국어 메뉴판 제공 / 카드 가능 / 금연
10,하코다테 우니 무라카미 니혼 세이메이 삿포로 빌점,"삿포로역 140m / 해물, 가이센동(해물덮밥), 일본 요리",3.59,카드 가능 / 금연 / Wi-Fi있음
11,타이슈우 스미비 야키니쿠 징기스칸 내장구이 사카바 후우도. 삿포로에키마에점,"삿포로역 211m / 야키니쿠, 징기스칸, 내장구이",3.60,카드 가능 / 흡연 가능 / Wi-Fi있음
12,히츠지자,"히가시혼간지마에역 263m / 징기스칸, 야키니쿠",3.53,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
13,라무스케,"스스키노역 131m / 징기스칸, 야키니쿠, 이자카야",3.60,다국어 메뉴판 제공 / 카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / 사진이 포함된 메뉴판 제공
14,홋카이도 몬자 카오루,"스스키노역 174m / 몬자야키, 이자카야, 징기스칸",3.41,다국어 메뉴판 제공 / 카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / Wi-Fi있음 / 어린이 동반 가능
15,스시 텐치진,시세이칸쇼갓코마에역 137m / 스시(초밥),3.62,다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음
16,징기스칸 히게노우시 혼텐,"다누키코지역 152m / 징기스칸, 야키니쿠, 내장구이",3.60,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
17,슌사이 나부라,"히가시혼간지마에역 307m / 야키토리, 오뎅",3.62,카드 가능 / 흡연 가능 / Wi-Fi있음
18,징기스칸 히게노우시 미나미 5조점,스스키노역 165m / 징기스칸,3.47,카드 가능 / 금연 / 어린이 동반 가능
19,무연 Jingisukan × 앗케시 카키 라무구치 카즈야 2ND,"호스이스스키노역 329m / 징기스칸, 굴, 이자카야",3.63,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / 어린이 동반 가능
