rank,store_name,stat,star,info
1,쿄우 우나와 혼텐,"가라스마역 314m / 장어, 일본 요리, 해물",3.54,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능
2,기온 카료우,기온시조역 309m / 일본 요리,3.58,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 어린이 메뉴 있음
3,쿄라쿠 야키니쿠 야부,"교토 가와라마치역 219m / 야키니쿠, 내장구이, 이자카야",3.55,카드 가능 / 분리 흡연 구역 / 어린이 동반 가능
4,모츠나베 토라야,"기온시조역 232m / 내장전골, 쇠고기 요리, 이자카야",3.45,카드 가능 / 금연
5,타카츠지 카스이,교토 가와라마치역 462m / 이자카야,3.71,카드 가능 / 금연
6,교토 야키니쿠 니시키야마치 니쿠신,"기온시조역 149m / 야키니쿠, 스테이크, 이자카야",3.32,카드 가능 / 금연 / 어린이 동반 가능
7,내장구이 안도우,"산조역 283m / 야키니쿠, 내장구이, 쇠고기 요리",3.08,다국어 메뉴판 제공 / 카드 가능 / 흡연 가능 / Wi-Fi있음
8,우메노 하나 교토 가라스마점,"가라스마오이케역 383m / 두부 요리, 일본 요리, 샤브샤브",3.11,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 어린이 메뉴 있음
9,일식 마코타로우,"교토 가와라마치역 207m / 일본 요리, 해물, 덴푸라",3.17,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 디지털 메뉴판 제공
10,산미코우안 교토 본점,"히가시야마역 136m / 소바, 냄비요리, 일본 요리",3.47,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
11,스미야키 코우보우 마호로바,"교토 가와라마치역 233m / 이자카야, 야키토리, 닭 요리",3.09,카드 가능 / 흡연 가능
12,야키니쿠 규우쇼우 신,"기온시조역 249m / 야키니쿠, 일본 요리, 쇠고기 요리",3.54,카드 가능 / 분리 흡연 구역 / 어린이 동반 가능
13,폰토초우 스이신 혼텐,"산조역 192m / 일본 요리, 해물, 이자카야",3.32,카드 가능 / 금연 / 어린이 동반 가능
14,교토 기온 장어 욘다이메 키쿠카와,"기온시조역 278m / 장어, 일본 요리",3.55,카드 가능 / 금연 / 어린이 동반 가능
15,스미야키 우나후지 다이마루 교토 벳테이,"가라스마역 189m / 장어, 해물, 일본 요리",3.65,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
16,기온 시즈카,기온시조역 308m / 일본 요리,3.57,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
17,스시로만,"가라스마역 313m / 이자카야, 스시(초밥), 로바타야키",3.27,다국어 메뉴판 제공 / 카드 가능 / 분리 흡연 구역 / Wi-Fi있음 / 어린이 동반 가능 / 디지털 메뉴판 제공
18,교토 야키니쿠 enen 시조 카와라마치점,"교토 가와라마치역 230m / 야키니쿠, 내장구이",3.32,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
19,교토 호루몬 사카바 774,산조역 284m / 야키니쿠,3.08,다국어 메뉴판 제공 / 카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
20,개별룸 야키니쿠 이치류우만바이,"시조역 165m / 야키니쿠, 스키야키, 이자카야",3.11,카드 가능 / 금연 / 어린이 동반 가능
21,OSTERIA IS -기온-,"기온시조역 266m / 비스트로, 이탈리안, 스테이크",3.52,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
