rank,store_name,stat,star,info
1,라이브 야키니쿠 텐구 센니치마에점,"긴테쓰닛폰바시역 180m / 야키니쿠, 내장구이, 이자카야",3.62,카드 가능 / 금연
2,쿠로게와규 우 토 탄 토 하라미 야키니쿠 고리짱 우메다혼텐,"나카자키초역 398m / 야키니쿠, 내장구이, 한식",3.44,카드 가능 / 흡연 가능
3,구로게 와규 잇토우가이 야키니쿠 도톤보리 미츠루 소우혼텐,"닛폰바시역 313m / 야키니쿠, 스테이크, 이자카야",3.40,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
4,스미비 야키니쿠 와규엔,"긴테쓰닛폰바시역 124m / 야키니쿠, 내장구이, 이자카야",3.09,다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
5,스시 로바타 키타로우즈시 도구야스지 요코초점,"난바역 144m / 이자카야, 스시(초밥), 로바타야키",3.17,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
6,스시 아마토 우라난바,"긴테쓰닛폰바시역 73m / 스시(초밥), 일본 요리, 이자카야",3.54,카드 가능 / 금연
7,하시바케 니쿠사라,덴마역 258m / 니쿠바르(고기바),3.55,다국어 메뉴판 제공 / 카드 가능 / 흡연 가능 / Wi-Fi있음
8,스시 아마토,"나카쓰역 195m / 스시(초밥), 일본 요리, 이자카야",3.55,카드 가능 / 금연
9,난바 스시 우라라,"난바역 129m / 스시(초밥), 해물, 일본 요리",3.52,카드 가능 / 금연
10,스시 본본 Osaka 난바,"난바역 157m / 스시(초밥), 해물, 일본 요리",3.09,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
11,와규 잇토우가이 야키니쿠 내장구이 쿠로노 우라 난바 혼텐,"긴테쓰닛폰바시역 274m / 야키니쿠, 내장구이, 이자카야",3.40,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
12,숙세이 스시 리타 난바 신사이바시,"오사카난바역 237m / 스시(초밥), 해물, 일본 요리",3.33,카드 가능 / 금연
13,신사이바시스시 엔,"나가호리바시역 437m / 스시(초밥), 일본 요리, 해물",3.10,카드 가능 / 금연 / Wi-Fi있음
14,신주쿠 야키니쿠 규탄노 레몬 오사카혼텐,긴테쓰닛폰바시역 95m / 우설,3.60,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
15,스시 타쿠마,"사카이스지혼마치역 339m / 스시(초밥), 해물, 일본 요리",3.52,카드 가능 / 금연
16,후쿠요시 벳칸,"긴테쓰닛폰바시역 195m / 스시(초밥), 이자카야, 해물",3.30,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능
17,오사카 모츠나베 PLay,"신사이바시역 181m / 내장전골, 이자카야, 내장 구이",3.58,다국어 메뉴판 제공 / 카드 가능 / 흡연 가능 / Wi-Fi있음
18,코나몬도코로 미츠쿠니 우라난바점,"긴테쓰닛폰바시역 248m / 오코노미야키, 몬자야키",3.46,카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / 어린이 동반 가능
19,특센 와규 야키니쿠 타베호다이 298 PREMIUM 난바점,닛폰바시역 260m / 야키니쿠,3.07,카드 가능 / 금연
20,에에카테이 난바점,"난바역 167m / 야키니쿠, 내장구이, 냉면",3.01,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
21,키타신치 스시 마츠이,"기타신치역 246m / 스시(초밥), 해물, 일본 요리",3.09,카드 가능 / 금연
22,타치스시 마구로 잇테츠 센니치마에점,"닛폰바시역 246m / 스시(초밥), 해물, 이자카야",3.13,다국어 메뉴판 제공 / 카드 가능 / 금연
23,스미비야키니쿠 CoCoRo 혼텐,"닛폰바시역 379m / 야키니쿠, 내장구이, 한식",3.18,카드 가능 / 흡연 가능 / Wi-Fi있음 / 채식주의자 메뉴 제공
24,스시토 덴푸라 카라스,"신이마미야 에키마에역 112m / 스시(초밥), 덴푸라, 일본 요리",3.21,카드 가능 / 금연 / 어린이 동반 가능
25,스시 요츠바,니시오하시역 226m / 스시(초밥),3.61,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연
26,장어노 나카쇼우 난바점,"난바역 112m / 장어, 일본 요리, 해물",3.18,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
