"product_id","last_category","rating","rating_count","good_count","great_count","excellent_count","recommend_count","worth_count","best_count"
"B01DEWVZ2C","In-Ear","4.0","192590","1","0","0","1","0","0"
"B01DF26V7A","In-Ear","4.0","192589","1","0","0","1","0","0"
"B01F25X6RQ","In-Ear","4.0","31539","3","0","1","0","0","0"
"B01F262EUU","In-Ear","4.0","31539","3","0","1","0","0","0"
"B01MF8MB65","In-Ear","4.0","273189","17","3","1","3","0","1"
"B071Z8M4KX","In-Ear","4.0","363711","5","0","0","0","0","0"
"B07CD2BN46","In-Ear","4.0","119466","4","2","0","0","0","0"
"B07DFYJRQV","In-Ear","4.0","53648","4","1","0","0","0","0"
"B07GPXXNNG","In-Ear","4.0","363713","5","0","0","0","0","0"
"B07GQD4K6L","In-Ear","4.0","363713","5","0","0","0","0","0"
"B08TV2P1N8","In-Ear","4.0","141841","6","0","0","1","0","2"
"B07KY3FNQP","In-Ear","4.0","91770","6","1","0","0","0","2"
"B07XJWTYM2","In-Ear","4.0","72563","4","2","1","0","2","0"
"B07QZ3CZ48","In-Ear","4.0","206","1","0","0","0","0","2"
"B07S9S86BF","In-Ear","4.0","161679","8","1","0","0","0","0"
"B083T5G5PM","In-Ear","4.0","98250","12","4","0","0","2","4"
"B08FN6WGDQ","In-Ear","4.0","4390","19","0","1","0","2","1"
"B08G28Z33M","In-Ear","4.0","37817","4","0","0","1","0","0"
"B08H9Z3XQW","In-Ear","4.0","161677","8","1","0","0","0","0"
"B08MTLLSL8","In-Ear","4.0","76042","2","1","0","0","0","1"
"B092X94QNQ","In-Ear","4.0","109864","8","11","1","2","0","2"
"B0B5GJRTHB","In-Ear","4.0","2284","7","0","0","2","0","1"
"B08D11DZ2W","In-Ear","3.0","28324","5","2","0","0","0","0"
"B08D75R3Z1","In-Ear","3.0","18202","4","2","0","0","0","1"
"B08D77XZX5","In-Ear","3.0","58162","4","1","0","0","1","0"
"B085W8CFLH","In-Ear","3.0","83996","3","0","0","0","0","0"
"B07JQKQ91F","In-Ear","3.0","92995","3","2","0","0","0","5"
"B07LG59NPV","In-Ear","3.0","103052","21","5","2","2","2","2"
"B07T5DKR5D","In-Ear","3.0","21764","4","0","0","0","0","0"
"B08JQN8DGZ","In-Ear","3.0","180998","8","1","0","0","0","1"
"B07TCN5VR9","In-Ear","3.0","77027","8","0","0","2","0","1"
"B08FB2LNSZ","In-Ear","3.0","87798","11","0","1","0","0","0"
"B08VRMK55F","In-Ear","3.0","3454","5","0","0","1","0","2"
"B091JF2TFD","In-Ear","3.0","1173","5","0","0","2","0","0"
"B086WMSCN3","In-Ear","3.0","47521","3","0","0","0","0","0"
"B098R25TGC","In-Ear","3.0","14629","5","2","0","0","0","1"
"B09GFWJDY1","In-Ear","3.0","9169","6","0","0","0","0","0"
"B09N3ZNHTY","In-Ear","3.0","136954","7","3","0","2","0","1"
"B08CFCK6CW","In-Ear","3.0","25910","0","0","0","0","0","0"
"B09NR6G588","In-Ear","3.0","14961","4","0","1","1","0","0"
"B09PL79D2X","In-Ear","3.0","11015","15","0","0","1","0","0"
"B09SGGRKV8","In-Ear","3.0","2492","7","0","0","0","1","0"
"B09X76VL5L","In-Ear","3.0","676","3","0","0","0","0","1"
"B09Y5MP7C4","In-Ear","3.0","12452","5","2","0","0","0","0"
"B09ND94ZRG","In-Ear","3.0","12966","6","0","0","0","0","0"
"B0B1F6GQPS","In-Ear","3.0","3390","6","0","0","0","0","0"
"B0B217Z5VK","In-Ear","3.0","3517","4","1","0","2","0","1"
"B0B2931FCV","In-Ear","3.0","1913","8","1","0","0","1","0"
"B0B31BYXQQ","In-Ear","3.0","9504","5","0","0","0","0","0"
"B0B31FR4Y2","In-Ear","3.0","1986","8","0","0","0","0","0"
"B09YLFHFDW","In-Ear","3.0","2272","3","2","0","0","0","2"
