last_category,count,
USBCables,161,11.91709845
Smartphones,68,5.03330866
SmartWatches,62,4.58919319
SmartTelevisions,60,4.4411547
In-Ear,51,3.774981495
RemoteControls,49,3.626943005
MixerGrinders,27,1.998519615
Mice,24,1.77646188
DryIrons,24,1.77646188
InstantWaterHeaters,23,1.702442635
LintShavers,22,1.62842339
HDMICables,21,1.554404145
ElectricHeaters,20,1.4803849
FanHeaters,20,1.4803849
HandBlenders,19,1.406365655
ElectricKettles,19,1.406365655
WallChargers,15,1.110288675
WirelessUSBAdapters,14,1.03626943
Lapdesks,14,1.03626943
LaundryBaskets,13,0.962250185
Kettle&ToasterSets,13,0.962250185
SteamIrons,12,0.88823094
WaterFilters&Purifiers,12,0.88823094
JuicerMixerGrinders,12,0.88823094
StorageWaterHeaters,12,0.88823094
ScreenProtectors,12,0.88823094
SandwichMakers,11,0.814211695
WaterPurifierAccessories,11,0.814211695
Stands,11,0.814211695
CeilingFans,11,0.814211695
GraphicTablets,11,0.814211695
EggBoilers,11,0.814211695
PowerBanks,11,0.814211695
PenDrives,10,0.74019245
Keyboard&MouseSets,10,0.74019245
InductionCooktop,10,0.74019245
DigitalKitchenScales,10,0.74019245
MicroSD,10,0.74019245
Routers,9,0.666173205
ImmersionRods,9,0.666173205
BasicMobiles,9,0.666173205
MiniFoodProcessors&Choppers,8,0.59215396
MousePads,8,0.59215396
HandheldVacuums,8,0.59215396
DisposableBatteries,7,0.518134715
CompositionNotebooks,7,0.518134715
VacuumSealers,7,0.518134715
On-Ear,7,0.518134715
LaptopSleeves&Slipcases,6,0.44411547
Wet-DryVacuums,6,0.44411547
GamingMice,6,0.44411547
ExternalHardDisks,6,0.44411547
StandardTelevisions,6,0.44411547
TVWall&CeilingMounts,6,0.44411547
BluetoothSpeakers,6,0.44411547
Rice&PastaCookers,5,0.370096225
Keyboards,5,0.370096225
DripCoffeeMachines,5,0.370096225
Lamps,5,0.370096225
LaptopChargers&PowerSupplies,5,0.370096225
USBHubs,5,0.370096225
DomeCameras,5,0.370096225
StylusPens,5,0.370096225
AirFryers,5,0.370096225
GeneralPurposeBatteries&BatteryChargers,4,0.29607698
WireboundNotebooks,4,0.29607698
CanisterVacuums,4,0.29607698
HEPAAirPurifiers,4,0.29607698
AutomobileChargers,4,0.29607698
InkjetInkCartridges,4,0.29607698
OutdoorSpeakers,4,0.29607698
Sewing&EmbroideryMachines,4,0.29607698
BasicCases,4,0.29607698
RechargeableBatteries,3,0.222057735
OpticalCables,3,0.222057735
Pop-upToasters,3,0.222057735
Repeaters&Extenders,3,0.222057735
WaterCartridges,3,0.222057735
ExhaustFans,3,0.222057735
Paints,3,0.222057735
StickBallpointPens,3,0.222057735
HardDiskBags,3,0.222057735
WaffleMakers&Irons,3,0.222057735
HandMixers,3,0.222057735
MeasuringSpoons,3,0.222057735
Gamepads,3,0.222057735
Printers,3,0.222057735
Humidifiers,3,0.222057735
Cradles,3,0.222057735
SatelliteReceivers,3,0.222057735
MilkFrothers,3,0.222057735
Headsets,3,0.222057735
Cases,3,0.222057735
InternalSolidStateDrives,3,0.222057735
SelfieSticks,3,0.222057735
NotebookComputerStands,3,0.222057735
GamingKeyboards,3,0.222057735
Projectors,3,0.222057735
Décor,3,0.222057735
"PressureWashers,Steam&WindowCleaners",3,0.222057735
Webcams,2,0.14803849
HeatConvectors,2,0.14803849
HalogenHeaters,2,0.14803849
Scientific,2,0.14803849
EthernetCables,2,0.14803849
RoomHeaters,2,0.14803849
RetractableBallpointPens,2,0.14803849
BottledInk,2,0.14803849
DustCovers,2,0.14803849
Notepads&MemoBooks,2,0.14803849
LiquidInkRollerballPens,2,0.14803849
Juicers,2,0.14803849
RCACables,2,0.14803849
InkjetPrinters,2,0.14803849
Adapters,2,0.14803849
Condenser,2,0.14803849
WetGrinders,2,0.14803849
GelInkRollerballPens,2,0.14803849
OvenToasterGrills,2,0.14803849
Tabletop&TravelTripods,2,0.14803849
OTGAdapters,2,0.14803849
CoolingPads,2,0.14803849
SprayBottles,2,0.14803849
DigitalScales,2,0.14803849
Over-Ear,2,0.14803849
CableConnectionProtectors,2,0.14803849
TripodLegs,2,0.14803849
CameraPrivacyCovers,2,0.14803849
PCMicrophones,2,0.14803849
Monitors,2,0.14803849
PCSpeakers,2,0.14803849
TableFans,2,0.14803849
Bedstand&DeskMounts,2,0.14803849
RoboticVacuums,2,0.14803849
USBtoUSBAdapters,2,0.14803849
SpeakerCables,1,0.074019245
SurgeProtectors,1,0.074019245
EspressoMachines,1,0.074019245
PCHeadsets,1,0.074019245
ColouringPens&Markers,1,0.074019245
Financial&Business,1,0.074019245
PaintingMaterials,1,0.074019245
FountainPens,1,0.074019245
Tape,1,0.074019245
BatteryChargers,1,0.074019245
Film,1,0.074019245
WoodenPencils,1,0.074019245
StandMixerAccessories,1,0.074019245
UninterruptedPowerSupplies,1,0.074019245
RotiMakers,1,0.074019245
FanParts&Accessories,1,0.074019245
CleaningKits,1,0.074019245
DVICables,1,0.074019245
Choppers,1,0.074019245
SmallApplianceParts&Accessories,1,0.074019245
CompleteTripodUnits,1,0.074019245
Basic,1,0.074019245
DigitalBathroomScales,1,0.074019245
HandheldBags,1,0.074019245
Shower&WallMounts,1,0.074019245
Pens,1,0.074019245
TonerCartridges,1,0.074019245
MultimediaSpeakerSystems,1,0.074019245
PedestalFans,1,0.074019245
InkjetInkRefills&Kits,1,0.074019245
ColdPressJuicers,1,0.074019245
CordManagement,1,0.074019245
Caddies,1,0.074019245
Adapters&Multi-Outlets,1,0.074019245
ExternalMemoryCardReaders,1,0.074019245
LaundryBags,1,0.074019245
LaptopAccessories,1,0.074019245
BackgroundSupports,1,0.074019245
CoffeePresses,1,0.074019245
Memory,1,0.074019245
SoundbarSpeakers,1,0.074019245
VideoCameras,1,0.074019245
PowerLANAdapters,1,0.074019245
ExternalSolidStateDrives,1,0.074019245
SecureDigitalCards,1,0.074019245
NetworkingDevices,1,0.074019245
DataCards&Dongles,1,0.074019245
Mounts,1,0.074019245
Macro&RinglightFlashes,1,0.074019245
SmallKitchenAppliances,1,0.074019245
Earpads,1,0.074019245
"Notebooks,WritingPads&Diaries",1,0.074019245
Tripods,1,0.074019245
AirPurifiers&Ionizers,1,0.074019245
StovetopEspressoPots,1,0.074019245
ColouredPaper,1,0.074019245
StandMixers,1,0.074019245
AVReceivers&Amplifiers,1,0.074019245
3DGlasses,1,0.074019245
BluetoothAdapters,1,0.074019245
SelfieLights,1,0.074019245
SATACables,1,0.074019245
YogurtMakers,1,0.074019245
StreamingClients,1,0.074019245
TowerSpeakers,1,0.074019245
Split-SystemAirConditioners,1,0.074019245
Tablets,1,0.074019245
HandlebarMounts,1,0.074019245
TraditionalLaptops,1,0.074019245
ElectricGrinders,1,0.074019245
PhoneCharms,1,0.074019245
InternalHardDrives,1,0.074019245
