"product_id","product_name","last_category","actual_price","rating","rating_count"
"B098K3H92Z","TP-Link USB Bluetooth Adapter for PC, 5.0 Bluetooth Dongle Receiver (UB500) Supports Windows 11/10/8.1/7 for Desktop, Laptop, Mouse, Keyboard, Printers, Headsets, Speakers, PS4/ Xbox Controllers","BluetoothAdapters","899.00","4.0","95116"
"B06XDKWLJH","Western Digital WD 1.5TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBU6Y0015BBK-WESN)","ExternalHardDisks","5734.00","4.0","25006"
"B08TGG316Z","10k 8k 4k HDMI Cable, Certified 48Gbps 1ms Ultra High Speed HDMI 2.1 Cable 4k 120Hz 144Hz 2k 165Hz 8k 60Hz Dynamic HDR ARC eARC DTS:X Compatible for Mac Gaming PC Soundbar TV Monitor Laptop PS5 4 Xbox","HDMICables","2399.00","4.0","3664"
"B09HCH3JZG","Bestor ® 8K Hdmi 2.1 Cable 48Gbps 9.80Ft/Ultra High Speed Hdmi Braided Cord For Roku Tv/Ps5/Hdtv/Blu-Ray Projector, Laptop, Television, Personal Computer, Xbox, Ps4, Ps5, Ps4 Pro (1 M, Grey)","HDMICables","1899.00","4.0","390"
"B09YLFHFDW","Sony WI-C100 Wireless Headphones with Customizable Equalizer for Deep Bass & 25 Hrs Battery, DSEE-Upscale, Splash Proof, 360RA, Fast Pair, in-Ear Bluetooth Headset with mic for Phone Calls (Black)","In-Ear","2790.00","3.0","2272"
"B005LJQMCK","BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)","OpticalCables","599.00","4.0","30023"
"B005LJQMZC","BlueRigger Digital Optical Audio Toslink Cable (6 Feet / 1.8 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)","OpticalCables","1999.00","4.0","30023"
"B0BLV1GNLN","WZATCO Pixel | Portable LED Projector | Native 720p with Full HD 1080P Support | 2000 Lumens (200 ANSI) | 176"" Large Screen | Projector for Home and Outdoor | Compatible with TV Stick, PC, PS4","Projectors","9990.00","4.0","27"
"B071VMP1Z4","LRIPL Compatible Sony Bravia LCD/led Remote Works with Almost All Sony led/LCD tv's","RemoteControls","399.00","3.0","1951"
"B07V5YF4ND","LOHAYA LCD/LED Remote Compatible for Sony Bravia Smart LCD LED UHD OLED QLED 4K Ultra HD TV Remote Control with YouTube & Netflix Function [ Compatible for Sony Tv Remote Control ]","RemoteControls","1199.00","3.0","466"
"B07ZR4S1G4","Universal Remote Control for All Sony TV for All LCD LED and Bravia TVs Remote","RemoteControls","699.00","4.0","2640"
"B08DCVRW98","SoniVision SA-D10 SA-D100 SA-D40 Home Theater Systems Remote Compatible with Sony RM-ANU156","RemoteControls","499.00","4.0","479"
"B08RWCZ6SY","7SEVEN® Compatible for Sony Bravia LCD LED UHD OLED QLED 4K Ultra HD TV remote control with YouTube and NETFLIX Hotkeys. Universal Replacement for Original Sony Smart Android tv Remote Control","RemoteControls","899.00","3.0","254"
"B09L8DT7D6","Sony TV - Remote Compatible for Sony LED Remote Control Works with Sony LED TV by Trend Trail Speed tech & Remote hi Remote & REO India only","RemoteControls","499.00","3.0","313"
"B09MMD1FDN","7SEVEN® Suitable Sony Tv Remote Original Bravia for Smart Android Television Compatible for Any Model of LCD LED OLED UHD 4K Universal Sony Remote Control","RemoteControls","699.00","3.0","214"
"B09WN3SRC7","Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X74K (Black)","SmartTelevisions","139900.00","4.0","5935"
