"product_id","product_name","last_category","actual_price","actual_price_krw","discounted_price","discounted_price_krw","rating","rating_count"
"B09ZHCJDP1","Amazon Basics Wireless Mouse | 2.4 GHz Connection, 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop","Mice","1000.00","14400.0","499.00","7185.6","5.0","23"
"B0BP7XLX48","Syncwire LTG to USB Cable for Fast Charging Compatible with Phone 5/ 5C/ 5S/ 6/ 6S/ 7/8/ X/XR/XS Max/ 11/12/ 13 Series and Pad Air/Mini, Pod & Other Devices (1.1 Meter, White)","USBCables","1999.00","28785.6","399.00","5745.6","5.0","5"
"B0BQRJ3C47","REDTECH USB-C to Lightning Cable 3.3FT, [Apple MFi Certified] Lightning to Type C Fast Charging Cord Compatible with iPhone 14/13/13 pro/Max/12/11/X/XS/XR/8, Supports Power Delivery - White","USBCables","999.00","14385.6","249.00","3585.6","5.0",""
"B002PD61Y4","D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black)","WirelessUSBAdapters","1208.00","17395.2","507.00","7300.8","4.0","8131"
"B002SZEOLG","TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)","WirelessUSBAdapters","1339.00","19281.6","749.00","10785.6","4.0","179692"
"B003B00484","Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4","RechargeableBatteries","499.00","7185.6","399.00","5745.6","4.0","27201"
"B003L62T7W","Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black","Mice","375.00","5400.0","279.00","4017.6","4.0","31534"
"B004IO5BMQ","Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop","Mice","995.00","14328.0","699.00","10065.6","4.0","54405"
"B005FYNT3G","SanDisk Cruzer Blade 32GB USB Flash Drive","PenDrives","650.00","9360.0","289.00","4161.6","4.0","253105"
"B005LJQMCK","BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)","OpticalCables","599.00","8625.6","416.00","5990.4","4.0","30023"
"B005LJQMZC","BlueRigger Digital Optical Audio Toslink Cable (6 Feet / 1.8 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)","OpticalCables","1999.00","28785.6","486.00","6998.4","4.0","30023"
"B006LW0WDQ","Amazon Basics 16-Gauge Speaker Wire - 50 Feet","SpeakerCables","795.00","11448.0","399.00","5745.6","4.0","12091"
"B0073QGKAS","Bajaj ATX 4 750-Watt Pop-up Toaster (White)","Pop-upToasters","1499.00","21585.6","1499.00","21585.6","4.0","9331"
