기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,일반_점포_수,프랜차이즈_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수
20261,11740,강동구,CS300043,전자상거래업,779,779,0,0.3,2,9,70
20261,11740,강동구,CS300042,주유소,43,43,0,0,0,4.7,2
20261,11740,강동구,CS300041,예술품,30,30,0,10,3,0,0
20261,11740,강동구,CS300040,재생용품 판매점,42,42,0,0,0,0,0
20261,11740,강동구,CS300039,모터사이클및부품,20,20,0,0,0,5,1
20261,11740,강동구,CS300038,자동차부품,93,92,1,0,0,2.2,2
20261,11740,강동구,CS300037,중고차판매,13,13,0,0,0,0,0
20261,11740,강동구,CS300036,조명용품,189,188,1,0,0,1.1,2
20261,11740,강동구,CS300035,인테리어,200,200,0,1.5,3,0.5,1
20261,11740,강동구,CS300034,악기,14,14,0,0,0,0,0
20261,11740,강동구,CS300033,철물점,117,117,0,1.7,2,0,0
20261,11740,강동구,CS300032,가전제품,97,97,0,0,0,0,0
20261,11740,강동구,CS300031,가구,143,143,0,2.1,3,2.1,3
20261,11740,강동구,CS300030,중고가구,3,3,0,0,0,0,0
20261,11740,강동구,CS300029,애완동물,136,126,10,4.4,6,4.4,6
20261,11740,강동구,CS300028,화초,274,271,3,2.6,7,2.2,6
20261,11740,강동구,CS300027,섬유제품,116,116,0,5.2,6,1.7,2
20261,11740,강동구,CS300026,완구,44,44,0,0,0,0,0
20261,11740,강동구,CS300025,자전거 및 기타운송장비,74,74,0,1.4,1,4.1,3
20261,11740,강동구,CS300024,운동/경기용품,184,184,0,1.6,3,1.1,2
20261,11740,강동구,CS300023,미용재료,47,47,0,4.3,2,2.1,1
20261,11740,강동구,CS300022,화장품,439,420,19,1.1,5,3.2,14
20261,11740,강동구,CS300021,문구,131,122,9,3.8,5,3.1,4
20261,11740,강동구,CS300020,서적,155,145,10,5.2,8,0.6,1
20261,11740,강동구,CS300019,의료기기,199,196,3,0,0,2,4
20261,11740,강동구,CS300018,의약품,442,408,34,2,9,2.7,12
20261,11740,강동구,CS300017,시계및귀금속,138,136,2,2.2,3,0.7,1
20261,11740,강동구,CS300016,안경,113,79,34,1.8,2,0.9,1
20261,11740,강동구,CS300015,가방,101,100,1,2,2,3,3
20261,11740,강동구,CS300014,신발,129,126,3,0,0,1.6,2
20261,11740,강동구,CS300013,유아의류,67,66,1,0,0,4.5,3
20261,11740,강동구,CS300012,한복점,10,10,0,0,0,0,0
20261,11740,강동구,CS300011,일반의류,1251,1251,0,1.1,14,1.6,20
20261,11740,강동구,CS300010,반찬가게,408,392,16,2.5,10,2.7,11
20261,11740,강동구,CS300009,청과상,330,329,1,1.8,6,2.1,7
20261,11740,강동구,CS300008,수산물판매,161,156,5,1.2,2,1.9,3
20261,11740,강동구,CS300007,육류판매,272,270,2,1.8,5,2.2,6
20261,11740,강동구,CS300006,미곡판매,135,135,0,1.5,2,2.2,3
20261,11740,강동구,CS300005,주류도매,36,36,0,0,0,0,0
20261,11740,강동구,CS300004,핸드폰,281,274,7,0.7,2,3.2,9
20261,11740,강동구,CS300003,컴퓨터및주변장치판매,153,153,0,0.7,1,5.2,8
20261,11740,강동구,CS300002,편의점,342,96,246,1.8,6,2.6,9
20261,11740,강동구,CS300001,슈퍼마켓,506,356,150,3.6,18,4.9,25
20261,11740,강동구,CS200047,가정용품임대,46,46,0,0,0,2.2,1
20261,11740,강동구,CS200046,의류임대,15,15,0,0,0,13.3,2
20261,11740,강동구,CS200045,비디오/서적임대,10,9,1,0,0,0,0
20261,11740,강동구,CS200044,여행사,95,95,0,3.2,3,5.3,5
20261,11740,강동구,CS200043,건축물청소,257,250,7,0,0,1.6,4
20261,11740,강동구,CS200042,통번역서비스,49,49,0,0,0,4.1,2
20261,11740,강동구,CS200041,사진관,185,183,2,1.1,2,2.7,5
20261,11740,강동구,CS200040,녹음실,21,21,0,0,0,0,0
20261,11740,강동구,CS200039,DVD방,24,24,0,12.5,3,0,0
20261,11740,강동구,CS200038,독서실,144,122,22,5.6,8,8.3,12
20261,11740,강동구,CS200037,노래방,223,217,6,2.7,6,3.1,7
20261,11740,강동구,CS200036,고시원,4,4,0,0,0,0,0
20261,11740,강동구,CS200035,게스트하우스,8,8,0,0,0,0,0
20261,11740,강동구,CS200034,여관,115,114,1,5.2,6,4.3,5
20261,11740,강동구,CS200033,부동산중개업,1531,1527,4,0.2,3,1.4,21
20261,11740,강동구,CS200032,가전제품수리,155,155,0,3.9,6,0.6,1
20261,11740,강동구,CS200031,세탁소,280,210,70,2.9,8,2.5,7
20261,11740,강동구,CS200030,피부관리실,426,417,9,3.5,15,1.4,6
20261,11740,강동구,CS200029,네일숍,205,203,2,0,0,2.9,6
20261,11740,강동구,CS200028,미용실,1112,1011,101,2.1,23,1.9,21
20261,11740,강동구,CS200027,모터사이클수리,22,22,0,0,0,4.5,1
20261,11740,강동구,CS200026,자동차미용,71,64,7,5.6,4,4.2,3
20261,11740,강동구,CS200025,자동차수리,239,212,27,0.4,1,1.7,4
20261,11740,강동구,CS200024,스포츠클럽,225,208,17,0.4,1,3.6,8
20261,11740,강동구,CS200023,통신기기수리,22,22,0,4.5,1,4.5,1
20261,11740,강동구,CS200022,복권방,44,44,0,0,0,0,0
20261,11740,강동구,CS200021,기타오락장,44,40,4,6.8,3,0,0
20261,11740,강동구,CS200020,전자게임장,6,5,1,0,0,0,0
20261,11740,강동구,CS200019,PC방,62,54,8,0,0,4.8,3
20261,11740,강동구,CS200018,볼링장,4,4,0,0,0,0,0
20261,11740,강동구,CS200017,골프연습장,97,88,9,4.1,4,3.1,3
20261,11740,강동구,CS200016,당구장,170,170,0,2.9,5,2.4,4
20261,11740,강동구,CS200015,세무사사무소,147,147,0,0.7,1,0,0
20261,11740,강동구,CS200014,회계사사무소,11,11,0,0,0,0,0
20261,11740,강동구,CS200013,기타법무서비스,38,38,0,0,0,7.9,3
20261,11740,강동구,CS200012,법무사사무소,43,43,0,4.7,2,2.3,1
20261,11740,강동구,CS200011,변리사사무소,2,2,0,0,0,0,0
20261,11740,강동구,CS200010,변호사사무소,12,12,0,16.7,2,0,0
20261,11740,강동구,CS200009,동물병원,63,63,0,0,0,0,0
20261,11740,강동구,CS200008,한의원,209,209,0,2.9,6,2.9,6
20261,11740,강동구,CS200007,치과의원,248,248,0,1.2,3,1.6,4
20261,11740,강동구,CS200006,일반의원,541,541,0,0.9,5,0.6,3
20261,11740,강동구,CS200005,스포츠 강습,428,406,22,1.9,8,2.6,11
20261,11740,강동구,CS200004,컴퓨터학원,11,11,0,0,0,0,0
20261,11740,강동구,CS200003,예술학원,527,495,32,1.3,7,1.7,9
20261,11740,강동구,CS200002,외국어학원,124,121,3,8.9,11,4,5
20261,11740,강동구,CS200001,일반교습학원,1462,1305,157,2.5,36,3,44
20261,11740,강동구,CS100010,커피-음료,931,679,252,2.7,25,3,28
20261,11740,강동구,CS100009,호프-간이주점,560,488,72,1.8,10,3.8,21
20261,11740,강동구,CS100008,분식전문점,493,345,148,3,15,5.9,29
20261,11740,강동구,CS100007,치킨전문점,272,96,176,4,11,4,11
20261,11740,강동구,CS100006,패스트푸드점,253,99,154,1.6,4,5.1,13
20261,11740,강동구,CS100005,제과점,331,244,87,2.1,7,2.4,8
20261,11740,강동구,CS100004,양식음식점,208,169,39,2.9,6,5.8,12
20261,11740,강동구,CS100003,일식음식점,229,201,28,2.2,5,3.1,7
20261,11740,강동구,CS100002,중식음식점,181,149,32,5.5,10,4.4,8
20261,11740,강동구,CS100001,한식음식점,2257,1986,271,3.1,69,3.6,81
20261,11710,송파구,CS300043,전자상거래업,1183,1181,2,0.1,1,5.1,60
20261,11710,송파구,CS300042,주유소,70,70,0,4.3,3,4.3,3
20261,11710,송파구,CS300041,예술품,80,80,0,3.8,3,1.3,1
20261,11710,송파구,CS300040,재생용품 판매점,50,50,0,0,0,2,1
20261,11710,송파구,CS300039,모터사이클및부품,39,39,0,7.7,3,2.6,1
20261,11710,송파구,CS300038,자동차부품,230,230,0,0.4,1,0.9,2
20261,11710,송파구,CS300037,중고차판매,16,16,0,0,0,0,0
20261,11710,송파구,CS300036,조명용품,566,566,0,0.4,2,1.1,6
20261,11710,송파구,CS300035,인테리어,253,253,0,1.2,3,1.6,4
20261,11710,송파구,CS300034,악기,34,34,0,2.9,1,0,0
20261,11710,송파구,CS300033,철물점,129,129,0,1.6,2,0.8,1
20261,11710,송파구,CS300032,가전제품,152,152,0,0,0,2,3
20261,11710,송파구,CS300031,가구,258,258,0,0.4,1,0.8,2
20261,11710,송파구,CS300030,중고가구,4,4,0,0,0,0,0
20261,11710,송파구,CS300029,애완동물,218,206,12,4.6,10,1.4,3
20261,11710,송파구,CS300028,화초,407,404,3,1.2,5,2.2,9
20261,11710,송파구,CS300027,섬유제품,189,189,0,4.8,9,1.6,3
20261,11710,송파구,CS300026,완구,59,59,0,3.4,2,1.7,1
20261,11710,송파구,CS300025,자전거 및 기타운송장비,63,63,0,1.6,1,0,0
20261,11710,송파구,CS300024,운동/경기용품,332,332,0,2.1,7,1.8,6
20261,11710,송파구,CS300023,미용재료,85,85,0,4.7,4,1.2,1
20261,11710,송파구,CS300022,화장품,933,887,46,1.5,14,3.6,34
20261,11710,송파구,CS300021,문구,296,262,34,3.4,10,2.4,7
20261,11710,송파구,CS300020,서적,224,219,5,0.9,2,0.9,2
20261,11710,송파구,CS300019,의료기기,324,323,1,0,0,1.9,6
20261,11710,송파구,CS300018,의약품,769,722,47,3.4,26,1.7,13
20261,11710,송파구,CS300017,시계및귀금속,215,203,12,1.9,4,3.3,7
20261,11710,송파구,CS300016,안경,173,122,51,2.9,5,1.7,3
20261,11710,송파구,CS300015,가방,176,175,1,0.6,1,2.3,4
20261,11710,송파구,CS300014,신발,249,246,3,0.4,1,2,5
20261,11710,송파구,CS300013,유아의류,109,98,11,0.9,1,5.5,6
20261,11710,송파구,CS300012,한복점,9,9,0,0,0,0,0
20261,11710,송파구,CS300011,일반의류,2284,2278,6,0.7,15,2.7,62
20261,11710,송파구,CS300010,반찬가게,909,881,28,1.5,14,1.9,17
20261,11710,송파구,CS300009,청과상,2468,2460,8,0.6,16,1.5,37
20261,11710,송파구,CS300008,수산물판매,1114,1110,4,0.2,2,1.5,17
20261,11710,송파구,CS300007,육류판매,506,501,5,0.6,3,3.6,18
20261,11710,송파구,CS300006,미곡판매,186,186,0,0,0,3.8,7
20261,11710,송파구,CS300005,주류도매,68,68,0,0,0,1.5,1
20261,11710,송파구,CS300004,핸드폰,347,340,7,0.6,2,1.7,6
20261,11710,송파구,CS300003,컴퓨터및주변장치판매,445,445,0,1.1,5,2.2,10
20261,11710,송파구,CS300002,편의점,558,186,372,1.3,7,2.3,13
20261,11710,송파구,CS300001,슈퍼마켓,710,506,204,4.1,29,3.9,28
20261,11710,송파구,CS200047,가정용품임대,71,71,0,0,0,1.4,1
20261,11710,송파구,CS200046,의류임대,14,13,1,0,0,0,0
20261,11710,송파구,CS200045,비디오/서적임대,22,21,1,4.5,1,0,0
20261,11710,송파구,CS200044,여행사,252,252,0,0.8,2,1.2,3
20261,11710,송파구,CS200043,건축물청소,318,314,4,0,0,2.2,7
20261,11710,송파구,CS200042,통번역서비스,148,148,0,0,0,2,3
20261,11710,송파구,CS200041,사진관,363,352,11,3.3,12,3,11
20261,11710,송파구,CS200040,녹음실,48,48,0,0,0,8.3,4
20261,11710,송파구,CS200039,DVD방,37,36,1,29.7,11,2.7,1
20261,11710,송파구,CS200038,독서실,235,203,32,4.7,11,6.4,15
20261,11710,송파구,CS200037,노래방,443,434,9,2,9,2.7,12
20261,11710,송파구,CS200036,고시원,5,5,0,0,0,0,0
20261,11710,송파구,CS200035,게스트하우스,33,32,1,0,0,3,1
20261,11710,송파구,CS200034,여관,164,161,3,4.9,8,3.7,6
20261,11710,송파구,CS200033,부동산중개업,2521,2515,6,0.2,4,2.2,56
20261,11710,송파구,CS200032,가전제품수리,151,150,1,6.6,10,3.3,5
20261,11710,송파구,CS200031,세탁소,423,333,90,2.4,10,2.4,10
20261,11710,송파구,CS200030,피부관리실,793,767,26,6.2,49,2.8,22
20261,11710,송파구,CS200029,네일숍,308,298,10,0,0,2.9,9
20261,11710,송파구,CS200028,미용실,1433,1307,126,2.4,34,2,29
20261,11710,송파구,CS200027,모터사이클수리,21,20,1,0,0,0,0
20261,11710,송파구,CS200026,자동차미용,127,121,6,3.9,5,3.1,4
20261,11710,송파구,CS200025,자동차수리,317,283,34,1.3,4,1.3,4
20261,11710,송파구,CS200024,스포츠클럽,434,411,23,0.9,4,3.9,17
20261,11710,송파구,CS200023,통신기기수리,39,39,0,7.7,3,0,0
20261,11710,송파구,CS200022,복권방,51,51,0,0,0,2,1
20261,11710,송파구,CS200021,기타오락장,82,66,16,2.4,2,0,0
20261,11710,송파구,CS200020,전자게임장,9,8,1,0,0,0,0
20261,11710,송파구,CS200019,PC방,70,62,8,0,0,7.1,5
20261,11710,송파구,CS200018,볼링장,9,9,0,22.2,2,11.1,1
20261,11710,송파구,CS200017,골프연습장,203,192,11,1.5,3,3.4,7
20261,11710,송파구,CS200016,당구장,267,264,3,1.9,5,5.6,15
20261,11710,송파구,CS200015,세무사사무소,704,704,0,0.1,1,1,7
20261,11710,송파구,CS200014,회계사사무소,79,79,0,1.3,1,0,0
20261,11710,송파구,CS200013,기타법무서비스,140,140,0,4.3,6,5,7
20261,11710,송파구,CS200012,법무사사무소,143,143,0,2.8,4,0.7,1
20261,11710,송파구,CS200011,변리사사무소,64,64,0,0,0,1.6,1
20261,11710,송파구,CS200010,변호사사무소,227,227,0,0.4,1,2.2,5
20261,11710,송파구,CS200009,동물병원,91,91,0,2.2,2,0,0
20261,11710,송파구,CS200008,한의원,267,267,0,2.2,6,0.7,2
20261,11710,송파구,CS200007,치과의원,341,341,0,1.8,6,1.8,6
20261,11710,송파구,CS200006,일반의원,749,749,0,1.3,10,1.2,9
20261,11710,송파구,CS200005,스포츠 강습,760,740,20,2.5,19,2.5,19
20261,11710,송파구,CS200004,컴퓨터학원,22,22,0,0,0,4.5,1
20261,11710,송파구,CS200003,예술학원,777,743,34,2.1,16,4,31
20261,11710,송파구,CS200002,외국어학원,192,186,6,4.7,9,3.6,7
20261,11710,송파구,CS200001,일반교습학원,1821,1635,186,1.9,34,3,54
20261,11710,송파구,CS100010,커피-음료,1613,1189,424,3.7,60,4.5,73
20261,11710,송파구,CS100009,호프-간이주점,817,694,123,2.3,19,3.7,30
20261,11710,송파구,CS100008,분식전문점,753,550,203,2.7,20,4,30
20261,11710,송파구,CS100007,치킨전문점,355,125,230,5.4,19,3.1,11
20261,11710,송파구,CS100006,패스트푸드점,429,177,252,3,13,3.7,16
20261,11710,송파구,CS100005,제과점,453,339,114,2.2,10,4.2,19
20261,11710,송파구,CS100004,양식음식점,510,447,63,2.2,11,4.7,24
20261,11710,송파구,CS100003,일식음식점,471,387,84,0.8,4,2.5,12
20261,11710,송파구,CS100002,중식음식점,321,269,52,3.4,11,2.8,9
20261,11710,송파구,CS100001,한식음식점,3491,3041,450,3.6,127,3.8,133
20261,11680,강남구,CS300043,전자상거래업,1503,1501,2,0.1,2,5.7,86
20261,11680,강남구,CS300042,주유소,65,65,0,0,0,4.6,3
20261,11680,강남구,CS300041,예술품,368,368,0,1.6,6,1.4,5
20261,11680,강남구,CS300040,재생용품 판매점,76,76,0,0,0,2.6,2
20261,11680,강남구,CS300039,모터사이클및부품,37,37,0,0,0,0,0
20261,11680,강남구,CS300038,자동차부품,255,255,0,0,0,0.4,1
20261,11680,강남구,CS300037,중고차판매,101,101,0,0,0,2,2
20261,11680,강남구,CS300036,조명용품,657,655,2,0,0,1.5,10
20261,11680,강남구,CS300035,인테리어,268,267,1,2.2,6,1.9,5
20261,11680,강남구,CS300034,악기,45,45,0,2.2,1,2.2,1
20261,11680,강남구,CS300033,철물점,106,106,0,0,0,0.9,1
20261,11680,강남구,CS300032,가전제품,163,163,0,0.6,1,1.2,2
20261,11680,강남구,CS300031,가구,489,488,1,1.6,8,1.8,9
20261,11680,강남구,CS300030,중고가구,7,7,0,0,0,0,0
20261,11680,강남구,CS300029,애완동물,223,220,3,4.5,10,3.1,7
20261,11680,강남구,CS300028,화초,744,736,8,2.2,16,3.4,25
20261,11680,강남구,CS300027,섬유제품,235,234,1,3.4,8,0.9,2
20261,11680,강남구,CS300026,완구,71,71,0,2.8,2,1.4,1
20261,11680,강남구,CS300025,자전거 및 기타운송장비,43,43,0,0,0,4.7,2
