"자치구","시장명","형태","주소","전화번호","건물형(연면적)","점포수(빈점포제외)"
"종로구","광장시장","건물형       ","종로구 창경궁로 88 광장시장","","18975","1579"
"종로구","광장전통시장","골목형       ","종로구 창경궁로 88 일대 광장전통시장","","49384","1830"
"종로구","낙원악기상가","건물형       ","서울 종로구 삼일대로 428 낙원상가","","20398","289"
"종로구","동대문문구?완구거리","골목형       ","종로구 종로52길 36 일대 동대문문구?완구거리","","8693","134"
"종로구","동대문상가A동","건물형       ","종로구 청계천로 295 동대문상가A동","","4735","219"
"종로구","동대문상가B동","건물형       ","종로구 청계천로 307 동대문상가B동","","4735","238"
"종로구","동대문상가C동","건물형       ","종로구 청계천로 319 동대문상가C동","","4735","185"
"종로구","동대문상가D동(일신파워빌딩)","건물형       ","종로구 청계천로 331 동대문상가D동(일신파워빌딩)","","8370","132"
"종로구","동대문종합시장","건물형       ","종로구 종로 266 동대문종합시장","","61475","3400"
"종로구","동대문종합시장D동","건물형       ","종로구 종로 266 동대문종합시장D동","","12452","1048"
"종로구","동대문종합시장신관","건물형       ","종로구 종로272 동대문종합시장신관","","13533","311"
"종로구","동대문지하쇼핑센터","지하도상가     ","종로구 율곡로 지하 308 동대문지하쇼핑센터","","2285","48"
"종로구","동묘시장","골목형       ","종로구 종로 58길40 동묘시장","","5480","135"
"종로구","동문시장","건물형       ","종로구 종로44길 14 동문시장","","3226","340"
"종로구","마전교지하쇼핑센터","지하도상가     ","종로구 동호로 지하 398 마전교지하쇼핑센터","","1210","32"
"종로구","보령약국골목상가","상점가       ","서울 종로구 종로31길 22 종로31길 22 일대","","1336.36","247"
"종로구","북촌계동길 골목형상점가","골목형       ","서울 종로구 계동길 52-12 일대","","5680","106"
"종로구","삼청정독길 골목형상점가","골목형       ","서울 종로구 율곡로1길 52 일대","","2869","82"
"종로구","세운상가가동","건물형       ","종로구 청계천로 159 세운상가가동","","10818","357"
