상권명,상권유형,업종,20254_전체점포수,20254_개업수,20254_폐업수,20254실제,20261실제,20261예측,오차
4.19민주묘지역 2번,골목상권,분식전문점,3,0,0,0,0.0,4.49,4.49
GS강동자이아파트,골목상권,분식전문점,2,0,0,0,0.0,4.21,4.21
G타워,골목상권,분식전문점,4,0,0,0,0.0,4.71,4.71
KB국민은행 망원동지점,골목상권,분식전문점,6,0,0,0,20.0,5.08,-14.92
KB국민은행 서강지점,골목상권,분식전문점,2,0,0,0,0.0,4.21,4.21
KB국민은행 종암동지점,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
KC대학교,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
KT구로지사,골목상권,분식전문점,3,0,0,0,0.0,4.46,4.46
KT금천빌딩(금천구시설관리공단),골목상권,분식전문점,2,0,0,0,0.0,4.24,4.24
KT대방빌딩,골목상권,분식전문점,3,0,1,33,0.0,4.23,4.23
KT월곡지사,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
NH농협은행 보광동지점,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
NH농협은행 상도동지점,골목상권,분식전문점,4,0,0,0,0.0,4.71,4.71
가리봉파출소,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
가산동우체국,골목상권,분식전문점,5,1,1,20,0.0,5.55,5.55
가산동주민센터,골목상권,분식전문점,3,0,0,0,0.0,4.46,4.46
가산디지털단지역 1번 출입구,골목상권,분식전문점,3,0,0,0,0.0,4.46,4.46
가산초등학교(세일중학교),골목상권,분식전문점,7,0,0,0,0.0,5.17,5.17
가양역 10번,골목상권,분식전문점,5,0,0,0,25.0,4.9,-20.1
가오리역 1번,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
가오리역 2번,골목상권,분식전문점,4,0,0,0,0.0,4.72,4.72
가인초등학교,골목상권,분식전문점,2,0,0,0,0.0,4.21,4.21
가좌역 2번,골목상권,분식전문점,6,0,0,0,0.0,5.04,5.04
간데메공원,골목상권,분식전문점,7,0,0,0,0.0,5.18,5.18
강남구보훈회관,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
강동구립 천호도서관,골목상권,분식전문점,6,0,1,17,0.0,4.91,4.91
강동구립성내도서관,골목상권,분식전문점,6,0,0,0,0.0,5.03,5.03
강동구청(강동구청역 2번),골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
강동성심병원,골목상권,분식전문점,2,0,0,0,50.0,4.21,-45.79
강동역 4번(강풀만화거리),골목상권,분식전문점,7,0,0,0,17.0,5.19,-11.81
강북구청,골목상권,분식전문점,1,0,0,0,0.0,3.83,3.83
강북문화예술회관,골목상권,분식전문점,1,0,0,0,0.0,3.83,3.83
강북중학교,골목상권,분식전문점,3,0,0,0,0.0,4.49,4.49
강서고등학교,골목상권,분식전문점,4,0,0,0,0.0,4.69,4.69
강서구다솔마을,골목상권,분식전문점,3,0,0,0,0.0,4.46,4.46
강서구청옆,골목상권,분식전문점,1,0,0,0,0.0,3.83,3.83
강일동주민센터,골목상권,분식전문점,7,0,0,0,0.0,5.22,5.22
개미어린이공원,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
개봉1동주민센터,골목상권,분식전문점,8,0,0,0,0.0,5.29,5.29
개봉3동주민센터,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
개봉역,골목상권,분식전문점,11,1,0,0,0.0,5.95,5.95
개봉중학교,골목상권,분식전문점,2,0,0,0,0.0,4.21,4.21
개봉초등학교,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
개웅초등학교(개웅중학교),골목상권,분식전문점,5,0,0,0,0.0,4.88,4.88
개포고등학교,골목상권,분식전문점,3,0,0,0,0.0,4.49,4.49
개포지구대옆,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
개화산역 1번,골목상권,분식전문점,3,0,1,33,0.0,4.23,4.23
거여역 1번(거여공원),골목상권,분식전문점,5,0,0,0,0.0,4.88,4.88
거여초등학교,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
건대입구역 1번,골목상권,분식전문점,3,0,0,0,0.0,4.46,4.46
건대입구역 6번,골목상권,분식전문점,4,0,0,0,0.0,4.69,4.69
경기대학교,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
경동고등학교,골목상권,분식전문점,4,0,0,0,0.0,4.69,4.69
경리단길남측,골목상권,분식전문점,4,0,0,0,0.0,4.69,4.69
경리단길북측,골목상권,분식전문점,6,0,1,17,0.0,4.93,4.93
경복고등학교,골목상권,분식전문점,1,1,0,0,0.0,7.81,7.81
경성고등학교,골목상권,분식전문점,4,0,2,50,33.0,4.35,-28.65
경수초등학교,골목상권,분식전문점,8,0,0,0,0.0,5.3,5.3
경신고등학교,골목상권,분식전문점,4,0,0,0,25.0,4.69,-20.31
경의선책거리,골목상권,분식전문점,9,0,0,0,0.0,5.42,5.42
경의중앙 신촌역,골목상권,분식전문점,3,0,1,33,0.0,4.29,4.29
경찰병원역 3번,골목상권,분식전문점,2,0,1,50,50.0,3.85,-46.15
경춘선숲길 우측,골목상권,분식전문점,8,0,0,0,0.0,5.3,5.3
경향신문사,골목상권,분식전문점,4,0,0,0,0.0,4.74,4.74
경희대삼거리,골목상권,분식전문점,9,0,0,0,0.0,5.39,5.39
경희대후문,골목상권,분식전문점,2,0,0,0,0.0,4.21,4.21
계상초등학교,골목상권,분식전문점,4,0,0,0,0.0,4.69,4.69
고대앞사거리,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
고덕동성당,골목상권,분식전문점,2,0,0,0,0.0,4.21,4.21
고덕중학교(고덕2동주민센터),골목상권,분식전문점,2,0,0,0,50.0,4.21,-45.79
고려대역 4번,골목상권,분식전문점,1,1,0,0,0.0,7.81,7.81
고려대역 6번,골목상권,분식전문점,5,0,0,0,0.0,4.88,4.88
고산초등학교,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
고척동성당,골목상권,분식전문점,1,0,1,100,0.0,3.04,3.04
고척초등학교,골목상권,분식전문점,4,0,1,25,0.0,4.54,4.54
곰달래도서관,골목상권,분식전문점,3,0,0,0,0.0,4.49,4.49
공군호텔,골목상권,분식전문점,5,0,0,0,0.0,4.9,4.9
공덕동주민센터,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
공덕래미안3차아파트,골목상권,분식전문점,1,0,0,0,0.0,3.83,3.83
공릉동 국수거리,골목상권,분식전문점,9,0,0,0,0.0,5.41,5.41
공릉역 2번,골목상권,분식전문점,6,0,0,0,0.0,5.03,5.03
공항고등학교,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
공항시장역 1번,골목상권,분식전문점,4,0,0,0,0.0,4.71,4.71
공항시장역 3번,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
관악구 중앙길,골목상권,분식전문점,9,0,0,0,0.0,5.42,5.42
관악구신사동주민센터,골목상권,분식전문점,9,1,1,11,10.0,5.77,-4.23
관악우성아파트,골목상권,분식전문점,3,0,0,0,0.0,4.49,4.49
관악해태어린이공원,골목상권,분식전문점,7,0,0,0,0.0,5.18,5.18
광나루역 1번,골목상권,분식전문점,6,0,0,0,0.0,5.04,5.04
광산사거리,골목상권,분식전문점,1,0,1,100,0.0,3.04,3.04
광운대역 1번,골목상권,분식전문점,8,0,0,0,0.0,5.32,5.32
광운대학교 남단,골목상권,분식전문점,6,0,0,0,0.0,5.04,5.04
광진경찰서,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
광진구청,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
광진정말공원,골목상권,분식전문점,3,0,0,0,100.0,4.49,-95.51
광진정보도서관,골목상권,분식전문점,3,0,0,0,0.0,4.51,4.51
광진초등학교,골목상권,분식전문점,3,1,0,0,50.0,5.8,-44.2
광흥창역 1번,골목상권,분식전문점,3,0,0,0,0.0,4.49,4.49
구남초등학교,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
구로119안전센터,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
구로4동주민센터,골목상권,분식전문점,6,0,1,17,20.0,4.93,-15.07
구로구민회관,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
구로나눔길,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
구로디지털단지역 4번,골목상권,분식전문점,3,0,0,0,0.0,4.49,4.49
구로보건소,골목상권,분식전문점,8,0,0,0,0.0,5.3,5.3
구로창업지원센터,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
구로초등학교,골목상권,분식전문점,2,0,0,0,0.0,4.21,4.21
구립대학경로당(관악산샘말공원),골목상권,분식전문점,25,2,2,8,4.0,6.64,2.64
구반포역,골목상권,분식전문점,3,0,0,0,0.0,4.46,4.46
구산보건지소,골목상권,분식전문점,5,1,0,0,25.0,5.7,-19.3
구산역 1번,골목상권,분식전문점,9,0,2,22,0.0,5.26,5.26
구산역 2번,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
구산역 4번,골목상권,분식전문점,9,0,0,0,0.0,5.4,5.4
구암초등학교,골목상권,분식전문점,3,0,0,0,50.0,4.46,-45.54
구의1동주민센터,골목상권,분식전문점,16,1,2,13,0.0,6.09,6.09
구의역 4번,골목상권,분식전문점,8,0,0,0,0.0,5.3,5.3
국립4.19민주묘지,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
국립국악고등학교,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
국립재활원,골목상권,분식전문점,3,0,0,0,0.0,4.46,4.46
국립정신건강센터,골목상권,분식전문점,3,1,0,0,0.0,5.82,5.82
국민은행방학지점,골목상권,분식전문점,2,0,0,0,50.0,4.17,-45.83
국제신학대학원대학교(남서울중학교),골목상권,분식전문점,2,0,0,0,50.0,4.17,-45.83
군자역 4번,골목상권,분식전문점,5,0,0,0,0.0,4.89,4.89
군자역 5번,골목상권,분식전문점,3,0,1,33,0.0,4.23,4.23
굽은다리역 1번(십자성마을),골목상권,분식전문점,3,1,0,0,0.0,5.8,5.8
굽은다리역 2번,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
굽은다리역 3번,골목상권,분식전문점,6,0,0,0,0.0,5.07,5.07
굽은다리역 4번,골목상권,분식전문점,5,0,1,20,25.0,4.74,-20.26
그라운드 고척,골목상권,분식전문점,13,0,0,0,0.0,5.77,5.77
금동어린이공원,골목상권,분식전문점,4,0,0,0,33.0,4.71,-28.29
금북초등학교,골목상권,분식전문점,2,0,0,0,100.0,4.17,-95.83
금산초등학교(금천고등학교),골목상권,분식전문점,2,0,0,0,0.0,4.21,4.21
금천구립가산도서관,골목상권,분식전문점,5,2,0,0,25.0,6.51,-18.49
금천구청역 1번 출입구,골목상권,분식전문점,6,1,0,0,0.0,5.73,5.73
금천금빛공원(은행나무사거리서측),골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
금천세무서,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
금천어울림복지센터,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
금천철쭉어린이공원(금하마을),골목상권,분식전문점,4,0,0,0,0.0,4.71,4.71
금천해태공원,골목상권,분식전문점,1,1,1,100,0.0,7.09,7.09
금호사거리,골목상권,분식전문점,4,0,0,0,0.0,4.71,4.71
금호삼성래미안아파트,골목상권,분식전문점,3,0,0,0,0.0,4.51,4.51
길동주민센터(강동도서관),골목상권,분식전문점,9,0,1,11,0.0,5.32,5.32
길음역 7번,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
길음역 8번,골목상권,분식전문점,9,0,0,0,13.0,5.41,-7.59
까치산역 1번,골목상권,분식전문점,3,0,0,0,0.0,4.46,4.46
까치산역 3번,골목상권,분식전문점,6,0,1,17,0.0,4.91,4.91
까치산역 4번,골목상권,분식전문점,10,1,0,0,0.0,5.9,5.9
낙성대역 1번(관악구민 종합체육센터),골목상권,분식전문점,5,0,0,0,0.0,4.89,4.89
낙성대역 5번(관악중학교),골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
난곡중학교,골목상권,분식전문점,3,0,0,0,50.0,4.46,-45.54
난곡초등학교(난곡동벽화마을),골목상권,분식전문점,2,0,0,0,0.0,4.24,4.24
난우초등학교,골목상권,분식전문점,4,0,1,25,0.0,4.51,4.51
난향초등학교,골목상권,분식전문점,4,0,0,0,0.0,4.69,4.69
남가좌동현대아파트,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
남가좌파출소,골목상권,분식전문점,8,1,1,13,14.0,5.72,-8.28
남강고등학교(남강중학교),골목상권,분식전문점,10,1,1,10,0.0,5.86,5.86
남구로역 2번,골목상권,분식전문점,7,0,1,14,14.0,5.09,-8.91
남구로역 3번,골목상권,분식전문점,7,0,0,0,14.0,5.18,-8.82
남부초등학교,골목상권,분식전문점,4,1,0,0,0.0,5.74,5.74
남성역 1번,골목상권,분식전문점,12,0,1,8,0.0,5.61,5.61
남영역 1번,골목상권,분식전문점,11,0,0,0,10.0,5.59,-4.41
남천초등학교,골목상권,분식전문점,8,0,2,25,0.0,5.12,5.12
남태령역(서울전자고등학교),골목상권,분식전문점,3,0,0,0,0.0,4.49,4.49
내를건너서숲으로도서관,골목상권,분식전문점,4,0,0,0,33.0,4.71,-28.29
내방역 4번,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
내방역 5번,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
내방역 8번,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
노량진역 6번,골목상권,분식전문점,5,0,0,0,0.0,4.88,4.88
노량진초등학교,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
노원역 9번,골목상권,분식전문점,3,0,0,0,33.0,4.49,-28.51
노원초등학교,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
녹번동근린공원,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
논현2동주민센터,골목상권,분식전문점,7,0,0,0,0.0,5.18,5.18
논현초등학교,골목상권,분식전문점,3,1,0,0,0.0,5.82,5.82
누원고등학교,골목상권,분식전문점,4,0,0,0,0.0,4.69,4.69
능동우편취급국,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
달마을공원,골목상권,분식전문점,5,0,0,0,25.0,4.89,-20.11
답십리 장령당공원,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
답십리공원,골목상권,분식전문점,3,0,0,0,0.0,4.49,4.49
답십리사거리,골목상권,분식전문점,2,0,0,0,0.0,4.21,4.21
답십리역 6번,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
답십리초등학교,골목상권,분식전문점,14,1,0,0,0.0,6.1,6.1
당고개역 2번,골목상권,분식전문점,4,0,0,0,0.0,4.69,4.69
당고개역 5번,골목상권,분식전문점,5,0,0,0,25.0,4.88,-20.12
당곡중학교,골목상권,분식전문점,9,0,0,0,0.0,5.42,5.42
당산반도유보라팰리스아파트,골목상권,분식전문점,6,0,0,0,0.0,5.04,5.04
대동초등학교,골목상권,분식전문점,1,1,0,0,0.0,7.81,7.81
대림1동주민센터,골목상권,분식전문점,6,0,0,0,0.0,5.07,5.07
대림갑을명가아파트,골목상권,분식전문점,1,0,0,0,0.0,3.83,3.83
대림성모병원,골목상권,분식전문점,3,0,0,0,0.0,4.49,4.49
대림역 11번,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
대림역 2번,골목상권,분식전문점,5,0,0,0,0.0,4.9,4.9
대림역 5번,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
대방역 3번,골목상권,분식전문점,4,0,0,0,0.0,4.71,4.71
대방역 6번,골목상권,분식전문점,5,0,0,0,25.0,4.88,-20.12
대왕초등학교(세곡동사거리서남측),골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
대원고등학교,골목상권,분식전문점,3,0,0,0,0.0,4.46,4.46
대진고등학교,골목상권,분식전문점,4,0,0,0,0.0,4.72,4.72
대청초등학교,골목상권,분식전문점,14,0,0,0,0.0,5.82,5.82
대치2동주민센터,골목상권,분식전문점,5,0,0,0,0.0,4.88,4.88
대치동아우편취급국,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
대흥동주민센터,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
대흥역 2번,골목상권,분식전문점,19,0,0,0,6.0,6.11,0.11
대흥역 3번,골목상권,분식전문점,6,1,1,17,0.0,5.6,5.6
더케이호텔(양재리본타워2단지아파트),골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
덕성여대시반거리,골목상권,분식전문점,4,0,0,0,0.0,4.71,4.71
덕의초등학교,골목상권,분식전문점,8,1,2,25,60.0,5.63,-54.37
도곡초등학교,골목상권,분식전문점,4,0,1,25,0.0,4.51,4.51
도림동주민센터,골목상권,분식전문점,1,0,0,0,0.0,3.83,3.83
도봉구 정병원,골목상권,분식전문점,3,0,0,0,0.0,4.49,4.49
도봉구보건소,골목상권,분식전문점,8,1,0,0,0.0,5.82,5.82
도봉산역 1번,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
도봉산입구,골목상권,분식전문점,7,0,1,14,0.0,5.11,5.11
도봉세무서,골목상권,분식전문점,2,0,2,100,0.0,3.49,3.49
도봉역 2번,골목상권,분식전문점,3,0,0,0,0.0,4.49,4.49
도봉역 3번,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
도신초등학교,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
독산119안전센터,골목상권,분식전문점,2,0,1,50,0.0,3.81,3.81
독산2동주민센터,골목상권,분식전문점,6,0,1,17,0.0,4.92,4.92
독산동성당,골목상권,분식전문점,9,0,0,0,13.0,5.41,-7.59
독산동정훈단지,골목상권,분식전문점,7,0,0,0,0.0,5.18,5.18
독산역 1번 출입구,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
돈의문센트레빌아파트입구,골목상권,분식전문점,2,0,0,0,0.0,4.21,4.21
돌곶이역 1번,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
돌곶이역 5번,골목상권,분식전문점,6,0,0,0,0.0,5.04,5.04
돌곶이역 8번,골목상권,분식전문점,3,1,0,0,0.0,5.82,5.82
동교초등학교,골목상권,분식전문점,8,0,0,0,0.0,5.3,5.3
동구여중,골목상권,분식전문점,2,1,0,0,0.0,6.19,6.19
동대문경찰서,골목상권,분식전문점,1,0,0,0,0.0,3.83,3.83
동대문구청,골목상권,분식전문점,5,0,1,20,0.0,4.76,4.76
동대문역 1번,골목상권,분식전문점,4,0,1,25,0.0,4.51,4.51
동대문역사문화공원역 5번,골목상권,분식전문점,4,0,0,0,0.0,4.69,4.69
동대부고,골목상권,분식전문점,5,0,0,0,25.0,4.89,-20.11
동대부여고,골목상권,분식전문점,3,0,0,0,0.0,4.46,4.46
동묘앞역 2번,골목상권,분식전문점,5,0,0,0,0.0,4.88,4.88
동묘앞역 3번,골목상권,분식전문점,1,1,0,0,0.0,7.81,7.81
동의보감타워,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
동일여자고등학교,골목상권,분식전문점,2,0,0,0,0.0,4.21,4.21
동작구자원봉사센터,골목상권,분식전문점,2,0,0,0,0.0,4.21,4.21
두산초등학교,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
둔촌2동주민센터,골목상권,분식전문점,5,0,0,0,0.0,4.9,4.9
둔촌고등학교(둔촌중학교),골목상권,분식전문점,3,0,1,33,0.0,4.23,4.23
둔촌동역 1번(한산중학교),골목상권,분식전문점,10,0,0,0,0.0,5.5,5.5
둔촌동역 4번,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
등촌1동주민센터,골목상권,분식전문점,13,1,0,0,8.0,6.08,-1.92
등촌3동주민센터,골목상권,분식전문점,11,1,3,27,0.0,5.77,5.77
등촌역 4번,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
등촌역 7번,골목상권,분식전문점,1,0,0,0,0.0,3.76,3.76
뚝섬역교차로,골목상권,분식전문점,2,0,0,0,0.0,4.17,4.17
