자치구명,업종,20254_전체점포수,20254_개업수,20254_폐업수,20254실제,20261실제,20261예측,오차
강남구,분식전문점,864,28,32,3.7,3.6,4.16,0.56
강남구,양식음식점,1369,36,45,3.3,3.4,4.12,0.72
강남구,일식음식점,969,9,32,3.3,3.5,3.87,0.37
강남구,제과점,597,17,14,2.3,4.5,3.57,-0.93
강남구,중식음식점,484,20,14,2.9,4.8,4.29,-0.51
강남구,치킨전문점,340,9,8,2.4,4.5,4.46,-0.04
강남구,커피-음료,2579,92,74,2.9,3.3,4.26,0.96
강남구,패스트푸드점,597,18,22,3.7,3.3,4.48,1.18
강남구,한식음식점,4964,183,152,3.1,3.4,3.65,0.25
강남구,호프-간이주점,1152,44,55,4.8,4.9,4.05,-0.85
강동구,분식전문점,508,15,19,3.7,5.9,4.55,-1.35
강동구,양식음식점,214,7,6,2.8,5.8,4.69,-1.11
강동구,일식음식점,231,10,11,4.8,3.1,4.63,1.53
강동구,제과점,332,12,12,3.6,2.4,4.04,1.64
강동구,중식음식점,179,7,9,5.0,4.4,4.68,0.28
강동구,치킨전문점,272,10,8,2.9,4.0,4.96,0.96
강동구,커피-음료,934,41,50,5.4,3.0,4.72,1.72
강동구,패스트푸드점,262,16,13,5.0,5.1,5.13,0.03
강동구,한식음식점,2270,73,90,4.0,3.6,4.02,0.42
강동구,호프-간이주점,571,11,18,3.2,3.8,4.36,0.56
강북구,분식전문점,297,10,15,5.1,2.6,4.93,2.33
강북구,양식음식점,107,5,4,3.7,8.9,5.16,-3.74
강북구,일식음식점,108,2,8,7.4,8.9,4.71,-4.19
강북구,제과점,138,0,3,2.2,2.9,4.13,1.23
강북구,중식음식점,131,9,9,6.9,2.3,5.24,2.94
강북구,치킨전문점,200,9,10,5.0,6.7,5.32,-1.38
강북구,커피-음료,548,12,34,6.2,3.9,4.86,0.96
강북구,패스트푸드점,130,4,4,3.1,1.5,5.29,3.79
강북구,한식음식점,1809,84,74,4.1,5.1,4.48,-0.62
강북구,호프-간이주점,530,9,24,4.5,3.3,4.64,1.34
강서구,분식전문점,617,19,30,4.9,4.3,4.88,0.58
강서구,양식음식점,279,18,11,3.9,3.5,5.28,1.78
강서구,일식음식점,307,5,18,5.9,6.5,4.66,-1.84
강서구,제과점,384,14,15,3.9,6.3,4.36,-1.94
강서구,중식음식점,296,12,16,5.4,4.0,4.99,0.99
강서구,치킨전문점,337,10,18,5.3,4.9,5.16,0.26
강서구,커피-음료,1265,42,48,3.8,3.7,4.98,1.28
강서구,패스트푸드점,343,16,18,5.2,4.7,5.33,0.63
강서구,한식음식점,3094,141,145,4.7,4.4,4.45,0.05
강서구,호프-간이주점,830,15,29,3.5,3.5,4.67,1.17
관악구,분식전문점,524,18,20,3.8,3.8,4.98,1.18
관악구,양식음식점,226,14,10,4.4,8.2,5.3,-2.9
